股票代码,股票简称,时间,持有信托家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
002485,希努尔,2020-03-31,7,持平,25574278,4.70115404,0,0
000576,甘化科工,2020-03-31,6,持平,25784536,5.82225961,0,0
000673,*ST当代,2020-03-31,6,增持,29754159,3.75897194,4302500,16.9045954921838
600515,海航基础,2020-03-31,5,减持,495952724,12.69202787,-5791400,-1.15425367691999
000793,华闻集团,2020-03-31,4,增持,182754975,9.15035127,19554622,11.98197285762
002085,万丰奥威,2020-03-31,4,持平,167840374,7.67487922,0,0
002427,ST尤夫,2020-03-31,4,增持,67210899,16.88060096,484600,0.726250379928909
600598,北大荒,2020-03-31,4,增持,34219466,1.92495093,34219466,100
002509,天茂退,2020-03-31,4,减持,220359908,8.84094498,-13576354,-5.80344145192847
601952,苏垦农发,2020-03-31,4,增持,19983436,1.45017678,19983436,100
688258,卓易信息,2020-03-31,4,增持,1043978,1.20057375,613484,142.506980352804
002450,*ST康得,2020-03-31,3,持平,129635032,3.66107548,0,0
000703,恒逸石化,2020-03-31,3,减持,178210047,6.27119153,-38937177,-17.9312340644981
000566,海南海药,2020-03-31,3,增持,149994459,11.22730442,6250000,4.34799368509919
601233,桐昆股份,2020-03-31,3,减持,131684300,7.1260265,-1274000,-0.958195163445983
000042,中洲控股,2020-03-31,3,减持,21850478,3.28662073,-5800,-0.0265369977449957
000797,中国武夷,2020-03-31,3,增持,28255938,1.79800654,11500060,68.6329895693917
002252,上海莱士,2020-03-31,3,减持,114261083,1.69507014,-57000000,-33.2825175466162
002564,天沃科技,2020-03-31,3,增持,78544516,9.03459273,9272700,13.3859634919922
600322,天房发展,2020-03-31,3,增持,28364724,2.56531827,15791700,125.599855691041
601828,美凯龙,2020-03-31,3,持平,41384411,1.16575805,0,0
000757,浩物股份,2020-03-31,3,减持,7839240,1.17933937,-3394283,-30.215658970031
002665,首航高科,2020-03-31,3,增持,143403602,5.64865603,2922000,2.07998766984448
002408,齐翔腾达,2020-03-31,3,持平,75436841,4.24946191,0,0
600179,*ST安通,2020-03-31,3,持平,148516838,9.98781736,0,0
300238,冠昊生物,2020-03-31,3,持平,24795660,9.35135843,0,0
600393,粤泰股份,2020-03-31,3,持平,65376807,2.57769786,0,0
600638,新黄浦,2020-03-31,3,持平,48136880,7.14836794,0,0
600057,厦门象屿,2020-03-31,3,减持,153941825,7.13534652,-4730282,-2.98116795033169
601500,通用股份,2020-03-31,3,增持,48558100,5.56673755,25345800,109.191247743653
000546,金圆股份,2020-03-31,3,减持,41149970,5.75810434,-3150000,-7.11061429612706
600165,新日恒力,2020-03-31,3,持平,27705619,4.04530229,0,0
600856,*ST中天,2020-03-31,3,增持,221775773,15.78861315,42930600,24.0043380986302
300481,濮阳惠成,2020-03-31,3,增持,6527850,2.53943153,5321900,441.303536630872
002309,中利集团,2020-03-31,2,减持,53126047,6.09392465,-7070000,-11.7449572726927
600487,亨通光电,2020-03-31,2,减持,45474991,2.32877222,-127300,-0.279152641695129
600908,无锡银行,2020-03-31,2,持平,183930635,9.95153837,0,0
600851,海欣股份,2020-03-31,2,持平,37948756,3.14390834,0,0
002310,东方园林,2020-03-31,2,持平,126141556,4.6972013,0,0
600736,苏州高新,2020-03-31,2,减持,22061171,1.91620837,-12242141,-35.6879271599197
002630,华西能源,2020-03-31,2,增持,17028680,1.44213076,3277900,23.8379204670571
000666,经纬纺机,2020-03-31,2,减持,10343700,1.4690043,-3573600,-25.6773943221746
002572,索菲亚,2020-03-31,2,减持,49783427,5.45649517,-4291400,-7.93604018372541
600737,中粮糖业,2020-03-31,2,持平,32779859,1.53259397,0,0
000425,徐工机械,2020-03-31,2,持平,148321020,1.89337883,0,0
002244,滨江集团,2020-03-31,2,增持,124106600,3.98871406,27490000,28.4526675540228
603696,安记食品,2020-03-31,2,持平,2166344,0.92106463,0,0
002163,海南发展,2020-03-31,2,增持,11562000,1.43886504,11562000,100
600728,佳都科技,2020-03-31,2,持平,66206406,3.85872198,0,0
002840,华统股份,2020-03-31,2,持平,7610950,2.7436729,0,0
000582,北部湾港,2020-03-31,2,持平,31693002,1.93886426,0,0
600777,新潮能源,2020-03-31,2,增持,138688953,2.03939472,58009550,71.9013129038647
002344,海宁皮城,2020-03-31,2,持平,17181588,1.33943905,0,0
002313,日海智能,2020-03-31,2,持平,29112927,9.33106634,0,0
300246,宝莱特,2020-03-31,2,增持,3430511,2.34824969,3430511,100
300027,华谊兄弟,2020-03-31,2,增持,33995793,1.21937883,16332289,92.4634715739301
600615,丰华股份,2020-03-31,2,持平,8329321,4.43000664,0,0
