股票代码,股票简称,时间,持有信托家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
002485,希努尔,2019-12-31,7,减持,25574278,4.70115404,-6425900,-20.0808258004065
000576,甘化科工,2019-12-31,6,增持,25784536,5.82225961,1087450,4.4031510438114
000673,*ST当代,2019-12-31,5,增持,25451659,3.21541846,8720100,52.1176777370238
600515,海航基础,2019-12-31,5,持平,501744124,12.84023677,0,0
000703,恒逸石化,2019-12-31,4,减持,217147224,7.64138641,-920800,-0.422253562493876
000757,浩物股份,2019-12-31,4,增持,11233523,1.85626896,4047183,56.3177222341275
002427,ST尤夫,2019-12-31,4,增持,66726299,16.75888946,3627754,5.74934651821211
002252,上海莱士,2019-12-31,4,增持,171261083,3.44269534,36754040,27.3249929373587
002509,天茂退,2019-12-31,4,持平,233936262,9.38563481,0,0
600400,红豆股份,2019-12-31,4,持平,164310277,6.48612765,0,0
002085,万丰奥威,2019-12-31,4,持平,167840374,7.67487922,0,0
002002,鸿达兴业,2019-12-31,3,持平,51282050,1.9809857,0,0
002564,天沃科技,2019-12-31,3,减持,69271816,7.96799926,-3727299,-5.105950942008
002450,*ST康得,2019-12-31,3,持平,129635032,3.66107548,0,0
300238,冠昊生物,2019-12-31,3,增持,24795660,9.35135843,2223600,9.8511168231876
600393,粤泰股份,2019-12-31,3,持平,65376807,2.57769786,0,0
000042,中洲控股,2019-12-31,3,减持,21856278,3.28749313,-6100,-0.027901813791711
002408,齐翔腾达,2019-12-31,3,持平,75436841,4.24946191,0,0
600057,厦门象屿,2019-12-31,3,持平,158672107,7.35459949,0,0
600736,苏州高新,2019-12-31,3,增持,34303312,2.9795469,2972141,9.4862110324571
002665,首航高科,2019-12-31,3,增持,140481602,5.53355869,23470015,20.057855466912
600638,新黄浦,2019-12-31,3,持平,48136880,7.14836794,0,0
000546,金圆股份,2019-12-31,3,减持,44299970,6.198883,-2528600,-5.39969510066184
000793,华闻集团,2019-12-31,3,持平,163200353,8.17127171,0,0
600165,新日恒力,2019-12-31,3,持平,27705619,4.04530229,0,0
601233,桐昆股份,2019-12-31,3,减持,132958300,7.1949826,-2891300,-2.12830954231739
600405,动力源,2019-12-31,3,减持,8538726,1.52492786,-171842,-1.97279901838778
600179,*ST安通,2019-12-31,3,增持,148516838,9.98781736,6571150,4.62934104768297
601500,通用股份,2019-12-31,3,持平,23212300,2.66107574,0,0
601828,美凯龙,2019-12-31,3,持平,41384411,1.16575805,0,0
000566,海南海药,2019-12-31,2,增持,143744459,10.75948279,10146533,7.59482823109095
002502,*ST鼎龙,2019-12-31,2,增持,12833498,1.4925642,12833498,100
000666,经纬纺机,2019-12-31,2,持平,13917300,1.97652422,0,0
000797,中国武夷,2019-12-31,2,持平,16755878,1.06622467,0,0
000425,徐工机械,2019-12-31,2,持平,148321020,1.89337883,0,0
000046,泛海控股,2019-12-31,2,减持,91132774,1.75383478,-7943800,-8.01783880819294
600811,东方集团,2019-12-31,2,减持,192893180,5.19287191,-10435000,-5.1320972823344
601991,大唐发电,2019-12-31,2,增持,65336064,0.35303986,20575821,45.9689662542717
600851,海欣股份,2019-12-31,2,减持,37948756,3.14390834,-13527543,-26.2791678166295
300294,博雅生物,2019-12-31,2,持平,20550800,4.74258501,0,0
002313,日海智能,2019-12-31,2,持平,29112927,9.33106634,0,0
600615,丰华股份,2019-12-31,2,增持,8329321,4.43000664,2252500,37.0670783292778
002344,海宁皮城,2019-12-31,2,增持,17181588,1.33943905,4672897,37.3572022843957
002310,东方园林,2019-12-31,2,持平,126141556,4.6972013,0,0
002439,启明星辰,2019-12-31,2,增持,15415775,1.71916513,6486007,72.6335443429213
002456,欧菲光,2019-12-31,2,减持,24227305,0.89305166,-35172292,-59.2130145260076
002572,索菲亚,2019-12-31,2,减持,54074827,5.92685257,-579000,-1.05939516367262
600358,*ST联合,2019-12-31,2,持平,16884458,3.34387644,0,0
000820,*ST节能,2019-12-31,2,持平,12047635,1.89058068,0,0
600497,驰宏锌锗,2019-12-31,2,增持,41440926,0.81395704,19765239,91.186217073535
000582,北部湾港,2019-12-31,2,持平,31693002,1.93886426,0,0
601236,红塔证券,2019-12-31,2,增持,11064543,0.30452267,8942243,421.34679357301
603317,天味食品,2019-12-31,2,增持,903896,0.21877891,383500,73.6938792765509
002344,海宁皮城,2019-12-31,2,增持,17181588,1.33943905,4672897,37.3572022843957
601066,中信建投,2019-12-31,2,增持,16395970,0.21442773,11663793,246.478375597532
300294,博雅生物,2019-12-31,2,持平,20550800,4.74258501,0,0
002313,日海智能,2019-12-31,2,持平,29112927,9.33106634,0,0
600615,丰华股份,2019-12-31,2,增持,8329321,4.43000664,2252500,37.0670783292778
000627,天茂集团,2019-12-31,2,增持,90728734,1.83638016,20405246,29.0162598305704
000686,东北证券,2019-12-31,2,持平,292877295,12.51370165,0,0
600682,南京新百,2019-12-31,2,增持,25339849,1.88241902,8836076,53.5397330052952
002661,克明面业,2019-12-31,2,持平,31270261,9.5101756,0,0
601916,浙商银行,2019-12-31,2,新进,26334836,0.1238197,26334836,0.1238197
600358,*ST联合,2019-12-31,2,持平,16884458,3.34387644,0,0
600497,驰宏锌锗,2019-12-31,2,增持,41440926,0.81395704,19765239,91.186217073535
000820,*ST节能,2019-12-31,2,持平,12047635,1.89058068,0,0
300767,震安科技,2019-12-31,2,增持,1039800,1.29975,1039800,100
000534,万泽股份,2019-12-31,2,减持,7334602,1.49142421,-6100,-0.0830983194795266
300367,ST网力,2019-12-31,2,减持,34593350,2.89297082,-8616519,-19.941090309716
600439,瑞贝卡,2019-12-31,2,持平,41353764,3.65320635,0,0
002681,*ST奋达,2019-12-31,2,持平,53694253,2.6406217,0,0
000939,凯迪退,2019-12-31,2,持平,286485824,7.29046601,0,0
002712,思美传媒,2019-12-31,2,增持,11531160,1.98401766,11531160,100
600305,恒顺醋业,2019-12-31,2,持平,15487731,1.97658672,0,0
300659,中孚信息,2019-12-31,2,增持,2700031,2.03265077,732711,37.2441189028729
600512,腾达建设,2019-12-31,2,减持,80248375,5.0189651,-56578950,-41.3506220340126
002009,天奇股份,2019-12-31,2,增持,6061147,1.63571887,2307600,61.477850150804
300102,乾照光电,2019-12-31,2,持平,28599774,4.04228055,0,0
300022,吉峰科技,2019-12-31,2,增持,5506288,1.44810712,5506288,100
300038,数知科技,2019-12-31,2,减持,50005680,4.2673257,-4194366,-7.73867608894649
300278,华昌达,2019-12-31,2,增持,26648600,4.46238115,12650000,90.3661794750904
000950,重药控股,2019-12-31,2,增持,10537900,0.609767,5037900,91.5981818181818
600856,*ST中天,2019-12-31,2,持平,178845173,13.08634983,0,0
300176,派生科技,2019-12-31,2,持平,20207036,5.21767048,0,0
603399,吉翔股份,2019-12-31,2,持平,105518000,19.29910832,0,0
300164,通源石油,2019-12-31,2,持平,22707376,5.03263904,0,0
300537,广信材料,2019-12-31,2,增持,2830787,1.46651941,35400,1.26637206225828
600106,重庆路桥,2019-12-31,2,持平,194037428,16.05998088,0,0
600731,湖南海利,2019-12-31,2,增持,13245200,3.72870317,5245200,65.565
000632,三木集团,2019-12-31,2,增持,28419231,6.10484131,3569301,14.3634247661865
603306,华懋科技,2019-12-31,2,持平,11251536,3.62281145,0,0
603313,梦百合,2019-12-31,2,增持,3347548,1.00350539,1250210,59.6093714985377
688258,卓易信息,2019-12-31,2,新进,430494,0.49506771,430494,0.49506771
002422,科伦药业,2019-12-31,1,持平,22650600,1.57319206,0,0
603806,福斯特,2019-12-31,1,减持,3957266,0.75722656,-478035,-10.7779607291591
000555,神州信息,2019-12-31,1,增持,2346499,0.24181207,2346499,100
002256,*ST兆新,2019-12-31,1,持平,25066744,1.33162909,0,0
000807,云铝股份,2019-12-31,1,减持,13600796,0.52173521,-10134249,-42.6974079889042
002241,歌尔股份,2019-12-31,1,持平,36197666,1.11545475,0,0
601801,皖新传媒,2019-12-31,1,持平,8654024,0.43504944,0,0
300379,东方通,2019-12-31,1,增持,3403197,1.20982898,3403197,100
600703,三安光电,2019-12-31,1,持平,91697853,2.24836437,0,0
300324,旋极信息,2019-12-31,1,减持,29046142,1.66250168,-9172484,-24.0000360033875
002266,浙富控股,2019-12-31,1,持平,20287759,1.02529719,0,0
600177,雅戈尔,2019-12-31,1,减持,569893793,11.36599131,-41560129,-6.7969355506072
002193,如意集团,2019-12-31,1,持平,2477015,0.94645312,0,0
002013,中航机电,2019-12-31,1,持平,44087812,1.22172101,0,0
601555,东吴证券,2019-12-31,1,持平,53120000,1.77066667,0,0
600966,博汇纸业,2019-12-31,1,减持,20350664,1.52229128,-27540000,-57.5059890587443
603897,长城科技,2019-12-31,1,增持,230000,0.12892257,230000,100
002637,赞宇科技,2019-12-31,1,减持,8009350,1.89489685,-424950,-5.03835528733861
300408,三环集团,2019-12-31,1,增持,18023636,1.03396158,3182884,21.4469185928045
002578,闽发铝业,2019-12-31,1,持平,21797300,2.20599614,0,0
600577,精达股份,2019-12-31,1,持平,16456664,0.85649108,0,0
600518,ST康美,2019-12-31,1,持平,231901482,4.66240312,0,0
002352,顺丰控股,2019-12-31,1,持平,21390565,0.48454303,0,0
600157,ST永泰,2019-12-31,1,持平,108905176,0.87644431,0,0
600094,大名城,2019-12-31,1,持平,54979712,2.22111079,0,0
300296,利亚德,2019-12-31,1,持平,40425421,1.5897516,0,0
000601,韶能股份,2019-12-31,1,持平,13502853,1.24962585,0,0
