股票代码,股票简称,时间,持有信托家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
600206,有研新材,2019-06-30,2,持平,20000000,2.36105673,0,0
000820,*ST节能,2019-06-30,2,持平,12047635,1.89058068,0,0
002217,合力泰,2019-06-30,2,减持,134850489,4.32710137,-28090595,-17.2397251266599
000534,万泽股份,2019-06-30,2,减持,7347202,1.49398631,-13137358,-64.1329762513815
002657,中科金财,2019-06-30,2,持平,4807707,1.42418218,0,0
300367,ST网力,2019-06-30,2,减持,30858113,3.6135526,-13920895,-31.0879932847106
002812,恩捷股份,2019-06-30,2,持平,8312531,1.75418735,0,0
600439,瑞贝卡,2019-06-30,2,减持,41353764,3.65320635,-22028626,-34.7551204680038
600405,动力源,2019-06-30,2,增持,8308460,1.48380473,30397,0.367199428175408
002681,*ST奋达,2019-06-30,2,持平,53694253,2.60182224,0,0
000939,凯迪退,2019-06-30,2,持平,286485824,7.29046601,0,0
600388,龙净环保,2019-06-30,2,减持,54160434,5.06622085,-30019418,-35.6610486794393
600305,恒顺醋业,2019-06-30,2,持平,15487731,1.97658672,0,0
300659,中孚信息,2019-06-30,2,增持,2436231,1.83405554,1270250,108.942598550062
600513,联环药业,2019-06-30,2,减持,6678065,2.33943539,-1119700,-14.3592426804347
000903,云内动力,2019-06-30,2,持平,61183678,3.10450839,0,0
300382,斯莱克,2019-06-30,2,持平,19822606,3.51110164,0,0
300102,乾照光电,2019-06-30,2,增持,28599774,3.97438055,15201971,113.466148143841
600233,圆通速递,2019-06-30,2,增持,5000617,0.17664602,5000617,100
000950,重药控股,2019-06-30,2,持平,10537900,0.609767,0,0
300176,派生科技,2019-06-30,2,增持,20207036,5.21767048,6243910,44.7171356901026
603399,吉翔股份,2019-06-30,2,持平,105518000,19.29910832,0,0
000673,*ST当代,2019-06-30,2,持平,12256410,1.54840543,0,0
000903,云内动力,2019-06-30,2,持平,61183678,3.10450839,0,0
300164,通源石油,2019-06-30,2,减持,22707376,5.03263904,-1200,-0.00528434719993011
601567,三星医疗,2019-06-30,2,持平,54234226,3.91139741,0,0
002240,盛新锂能,2019-06-30,2,持平,37624332,7.02807357,0,0
600106,重庆路桥,2019-06-30,2,增持,194037428,16.05998088,17639766,9.99999988661981
600731,湖南海利,2019-06-30,2,增持,12040460,3.38955254,12040460,100
000632,三木集团,2019-06-30,2,增持,23997630,5.15502066,13212119,122.498776367666
600746,江苏索普,2019-06-30,2,增持,2000067,0.65271768,2000067,100
300398,飞凯材料,2019-06-30,2,增持,8022110,1.56654689,1337018,19.9999940165371
002769,普路通,2019-06-30,2,增持,4578909,1.22654368,2135287,87.3820500879432
300584,海辰药业,2019-06-30,2,增持,4375230,3.646025,527100,13.6975621925455
002788,鹭燕医药,2019-06-30,2,增持,4923566,1.50645882,2027351,70.0000172639117
603959,百利科技,2019-06-30,2,增持,11854200,2.70002733,4504360,61.2851436221741
600104,上汽集团,2019-06-30,1,持平,111200000,0.95177274,0,0
603986,兆易创新,2019-06-30,1,持平,15081300,4.90317229,0,0
603806,福斯特,2019-06-30,1,减持,5161471,0.98765232,-148300,-2.79296414101474
002482,广田集团,2019-06-30,1,持平,15739888,1.02387929,0,0
000008,神州高铁,2019-06-30,1,持平,30500000,1.09680851,0,0
002456,欧菲光,2019-06-30,1,减持,26677640,0.98337437,-41678338,-60.9724843670586
600376,首开股份,2019-06-30,1,持平,67508253,2.61703995,0,0
300072,三聚环保,2019-06-30,1,减持,41600020,1.77042433,-5399980,-11.4893191489362
002180,纳思达,2019-06-30,1,减持,17953911,1.68832857,-3623000,-16.7910967422538
300379,东方通,2019-06-30,1,持平,6043228,2.18142105,0,0
000540,中天金融,2019-06-30,1,持平,30810240,0.43981613,0,0
600703,三安光电,2019-06-30,1,持平,91697853,2.24836437,0,0
300136,信维通信,2019-06-30,1,减持,16413066,1.69444444,-70300,-0.426490560241155
000001,平安银行,2019-06-30,1,减持,56413748,0.32855211,-9932318,-14.9704701406109
300339,润和软件,2019-06-30,1,减持,17293602,2.17144231,-1522000,-8.0890316451209
600177,雅戈尔,2019-06-30,1,增持,618225972,12.32993079,176635992,40
000952,广济药业,2019-06-30,1,增持,2535782,1.00743999,2535782,100
601898,中煤能源,2019-06-30,1,增持,8663511,0.06534227,8663511,100
002013,中航机电,2019-06-30,1,持平,44087812,1.22172206,0,0
601555,东吴证券,2019-06-30,1,持平,53120000,1.77066667,0,0
300411,金盾股份,2019-06-30,1,减持,2222000,0.4684103,-8600,-0.385546489733704
600966,博汇纸业,2019-06-30,1,持平,47890664,3.58236665,0,0
002611,东方精工,2019-06-30,1,持平,15808429,0.85978593,0,0
000566,海南海药,2019-06-30,1,持平,133597926,9.99999997,0,0
603897,长城科技,2019-06-30,1,减持,230000,0.12892377,-1115896,-82.9110124407829
300765,新诺威,2019-06-30,1,增持,394634,0.197317,211584,115.588090685605
300408,三环集团,2019-06-30,1,增持,12618248,0.72387079,12618248,100
002578,闽发铝业,2019-06-30,1,持平,21797300,2.20599614,0,0
600577,精达股份,2019-06-30,1,持平,16456664,0.85649108,0,0
600739,辽宁成大,2019-06-30,1,增持,34400078,2.24879762,34400078,100
600518,ST康美,2019-06-30,1,持平,231901482,4.66240312,0,0
000603,盛达资源,2019-06-30,1,持平,6284965,0.91090496,0,0
002352,顺丰控股,2019-06-30,1,持平,22790565,0.51625608,0,0
600157,ST永泰,2019-06-30,1,减持,108905176,0.87644431,-23900000,-17.996286530278
600094,大名城,2019-06-30,1,减持,54979712,2.22111079,-53453214,-49.296109559932
601991,大唐发电,2019-06-30,1,持平,44760243,0.24185953,0,0
300296,利亚德,2019-06-30,1,持平,40425421,1.5897516,0,0
000601,韶能股份,2019-06-30,1,持平,13502853,1.24962585,0,0
300054,鼎龙股份,2019-06-30,1,持平,12539185,1.30832235,0,0
002241,歌尔股份,2019-06-30,1,持平,36197666,1.11545475,0,0
000656,金科股份,2019-06-30,1,持平,145941327,2.7331291,0,0
000513,丽珠集团,2019-06-30,1,增持,3624503,0.50406954,3624503,100
600993,马应龙,2019-06-30,1,增持,4447427,1.03175661,251500,5.9939079016389
002585,双星新材,2019-06-30,1,增持,5593802,0.48377653,5593802,100
002488,金固股份,2019-06-30,1,减持,12869407,1.27254344,-10000,-0.0776433262804724
300357,我武生物,2019-06-30,1,增持,4305600,0.82233223,4305600,100
002354,*ST天娱,2019-06-30,1,持平,13166367,1.41248375,0,0
002475,立讯精密,2019-06-30,1,减持,104428647,2.53799209,-84797952,-44.8129134319008
601118,海南橡胶,2019-06-30,1,持平,47329612,1.10597992,0,0
002363,隆基机械,2019-06-30,1,持平,3016780,0.72501269,0,0
300003,乐普医疗,2019-06-30,1,持平,20736100,1.16386866,0,0
600654,ST中安,2019-06-30,1,持平,5290730,0.41236504,0,0
002042,华孚时尚,2019-06-30,1,增持,24513255,1.61337695,24513255,100
300203,聚光科技,2019-06-30,1,增持,3050000,0.67400723,3050000,100
300159,新研股份,2019-06-30,1,持平,35310174,2.36923758,0,0
601600,中国铝业,2019-06-30,1,持平,65440000,0.38442846,0,0
600715,文投控股,2019-06-30,1,持平,57893943,3.12121378,0,0
002366,台海核电,2019-06-30,1,持平,7903282,0.91150626,0,0
300142,沃森生物,2019-06-30,1,持平,31489566,2.0481858,0,0
000961,中南建设,2019-06-30,1,减持,42197021,1.13745076,-15144379,-26.4108985828738
002635,安洁科技,2019-06-30,1,持平,4686530,0.67998571,0,0
600369,西南证券,2019-06-30,1,持平,88738868,1.57196019,0,0
000157,中联重科,2019-06-30,1,持平,138819479,1.7696246,0,0
600183,生益科技,2019-06-30,1,持平,18324020,0.84170068,0,0
600693,东百集团,2019-06-30,1,增持,25850865,2.87798109,2940361,12.834117486023
002493,荣盛石化,2019-06-30,1,增持,46489322,0.73896878,46489322,100
000848,承德露露,2019-06-30,1,持平,8722387,0.89134674,0,0
