股票代码,股票简称,时间,持有信托家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
002485,希努尔,2018-12-31,8,减持,32000178,5.88238566,-5871079,-15.5027307385123
000576,甘化科工,2018-12-31,6,增持,24697386,5.57677645,4270650,20.9071581480272
002256,*ST兆新,2018-12-31,5,减持,85086980,4.52010431,-31168565,-26.8103899904301
600290,*ST华仪,2018-12-31,5,增持,33183674,4.36682731,5011100,17.7871571124456
600515,海航基础,2018-12-31,5,增持,590881514,15.12137,97173022,19.6822666765068
002509,天茂退,2018-12-31,5,持平,255986262,10.27029136,0,0
000703,恒逸石化,2018-12-31,4,增持,215442932,8.19811369,61459230,39.9128149289462
002475,立讯精密,2018-12-31,4,减持,313913754,7.62923439,-2197870,-0.695282878936461
002310,东方园林,2018-12-31,4,增持,170551206,6.35090743,32029000,23.121924581536
601127,小康股份,2018-12-31,4,持平,24919929,2.63660199,0,0
600086,退市金钰,2018-12-31,4,减持,52829046,3.91326266,-18842726,-26.2903029661385
000525,红太阳,2018-12-31,4,持平,28501580,4.90752604,0,0
002630,华西能源,2018-12-31,4,持平,56534129,4.78778193,0,0
002240,盛新锂能,2018-12-31,4,减持,64079367,11.96976748,-89200,-0.139008870184058
002085,万丰奥威,2018-12-31,4,持平,173103740,7.91555849,0,0
300430,诚益通,2018-12-31,4,增持,16776900,6.16777622,4559317,37.3176674960997
600638,新黄浦,2018-12-31,3,持平,48136880,7.14836794,0,0
002840,华统股份,2018-12-31,3,持平,10223100,3.81458884,0,0
002637,赞宇科技,2018-12-31,3,减持,17743456,4.19021278,-12789786,-41.8880707132246
002002,鸿达兴业,2018-12-31,3,持平,51282050,1.9809857,0,0
601238,广汽集团,2018-12-31,3,增持,244812596,2.39250092,5713567,2.38962367346126
600738,兰州民百,2018-12-31,3,减持,51149207,6.53166965,-44244460,-46.3809196054912
600851,海欣股份,2018-12-31,3,减持,53196324,4.40711065,-1124260,-2.06967583411843
002359,*ST北讯,2018-12-31,3,减持,51146325,4.70444376,-8117100,-13.6966434187697
002564,天沃科技,2018-12-31,3,减持,69782236,7.90362418,-14366709,-17.0729520138369
600322,天房发展,2018-12-31,3,减持,65994490,5.96857105,-17678150,-21.1277545443768
002138,顺络电子,2018-12-31,3,减持,43872680,5.40279086,-75332,-0.171411621531368
600487,亨通光电,2018-12-31,3,持平,61780691,3.2453197,0,0
002185,华天科技,2018-12-31,3,增持,41227023,1.93453018,41227023,100
600179,*ST安通,2018-12-31,3,减持,153886777,10.34894792,-8319643,-5.1290466801499
002215,诺普信,2018-12-31,3,增持,89667744,9.80965547,33884649,60.7435801115015
300238,冠昊生物,2018-12-31,3,增持,21776628,8.21277005,413500,1.93557797341288
002745,木林森,2018-12-31,3,持平,35099772,2.74824903,0,0
300367,ST网力,2018-12-31,3,持平,44779008,5.24010562,0,0
002327,富安娜,2018-12-31,3,减持,21864859,2.50986261,-1002911,-4.38569655021019
000793,华闻集团,2018-12-31,3,减持,163200353,8.17127171,-19554622,-10.69991227325
000042,中洲控股,2018-12-31,3,增持,41664811,6.26697646,13767810,49.352294176711
002408,齐翔腾达,2018-12-31,3,减持,75436841,4.24946191,-57624481,-43.3067101197146
000534,万泽股份,2018-12-31,3,减持,21729605,4.41851638,-3875101,-15.1343311655287
002210,*ST飞马,2018-12-31,3,增持,62967431,3.80955764,2247431,3.70130270092227
603839,安正时尚,2018-12-31,3,增持,11560947,2.8595884,11560947,100
600057,厦门象屿,2018-12-31,3,持平,158672107,7.35459949,0,0
600439,瑞贝卡,2018-12-31,3,持平,63382390,5.59922308,0,0
603518,锦泓集团,2018-12-31,3,增持,6900287,3.82173048,6900287,100
600388,龙净环保,2018-12-31,3,增持,84179852,7.87426706,1658200,2.00941202679752
601500,通用股份,2018-12-31,3,增持,22554200,3.10271122,7347400,48.3165425993634
600586,金晶科技,2018-12-31,3,减持,57194539,3.92199525,-14246408,-19.9415161727909
000554,泰山石油,2018-12-31,3,增持,13235051,2.75275268,2422351,22.4028318551333
000546,金圆股份,2018-12-31,3,持平,47428570,6.63666717,0,0
002217,合力泰,2018-12-31,3,减持,191035179,6.12996357,-3070000,-1.58161673779966
603399,吉翔股份,2018-12-31,3,增持,109449400,20.01815639,487900,0.447772837194789
600400,红豆股份,2018-12-31,3,增持,127610277,5.03739974,6800000,5.62866021737538
000721,西安饮食,2018-12-31,3,持平,7808002,1.56455454,0,0
000096,广聚能源,2018-12-31,3,增持,35863737,6.79237443,6925614,23.9324920970168
300031,宝通科技,2018-12-31,3,持平,20005236,5.0420502,0,0
300429,强力新材,2018-12-31,3,减持,14399374,5.30977791,-4111050,-22.2093778078773
603214,爱婴室,2018-12-31,3,增持,2506331,2.506331,2506331,100
002788,鹭燕医药,2018-12-31,3,增持,3775019,1.96356628,878804,30.3431893005181
603297,永新光学,2018-12-31,3,增持,1629862,1.9403119,1629862,100
002810,山东赫达,2018-12-31,3,增持,3593840,3.01841027,3593840,100
300294,博雅生物,2018-12-31,2,减持,21807660,5.0326353,-941650,-4.13924642110024
002450,*ST康得,2018-12-31,2,增持,125521545,3.54490483,4926501,4.08516041504989
600497,驰宏锌锗,2018-12-31,2,持平,41921526,0.82339669,0,0
002572,索菲亚,2018-12-31,2,持平,54653827,5.91859106,0,0
