股票代码,股票简称,时间,持有信托家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
000703,恒逸石化,2020-09-30,4,增持,313125599,8.50504501,81452538,35.1583984984771
600322,天房发展,2020-09-30,4,增持,35164724,3.1803133,14210000,67.8128712170105
002427,ST尤夫,2020-09-30,4,增持,75267000,17.18541883,539930,0.722536023424978
000793,华闻集团,2020-09-30,4,持平,182754975,9.15035127,0,0
601233,桐昆股份,2020-09-30,4,增持,152795200,8.2577628,21110900,16.0314479402632
600515,海航基础,2020-09-30,4,减持,326427489,8.35367281,-169525235,-34.1817328137107
002450,*ST康得,2020-09-30,3,持平,129635032,3.66107548,0,0
002252,上海莱士,2020-09-30,3,增持,167683027,2.48758794,76175984,83.2460338599292
600638,新黄浦,2020-09-30,3,持平,48136880,7.14836794,0,0
002564,天沃科技,2020-09-30,3,减持,36849199,4.2385837,-40978217,-52.6526757614566
601828,美凯龙,2020-09-30,3,增持,45522853,1.16575808,4138442,10.0000021747319
000757,浩物股份,2020-09-30,3,减持,7609940,1.14484337,-229300,-2.92502844663513
600179,*ST安通,2020-09-30,3,持平,148516838,9.98781736,0,0
600598,北大荒,2020-09-30,3,减持,22998637,1.29374455,-11903629,-34.1056050630065
002408,齐翔腾达,2020-09-30,3,持平,75436841,4.24946191,0,0
601500,通用股份,2020-09-30,3,减持,56714800,6.50182785,-745800,-1.29793284441861
603555,*ST贵人,2020-09-30,3,增持,75108517,11.94849841,61956000,471.058125224244
600856,*ST中天,2020-09-30,3,持平,221775773,15.78861315,0,0
300481,濮阳惠成,2020-09-30,3,持平,6409050,2.49321655,0,0
002572,索菲亚,2020-09-30,2,减持,27579444,3.02283534,-2074983,-6.99721157991014
688299,长阳科技,2020-09-30,2,增持,2261977,0.8005055,2261977,100
000543,皖能电力,2020-09-30,2,增持,19999803,0.8822677,9199866,85.1844413536857
000425,徐工机械,2020-09-30,2,持平,148321020,1.89337883,0,0
000939,凯迪退,2020-09-30,2,持平,286485824,7.29046601,0,0
300489,中飞股份,2020-09-30,2,增持,1998616,1.46822112,1998616,100
002310,东方园林,2020-09-30,2,持平,126141556,4.6972013,0,0
002244,滨江集团,2020-09-30,2,持平,124106600,3.98871406,0,0
600908,无锡银行,2020-09-30,2,持平,183930635,9.95136113,0,0
600851,海欣股份,2020-09-30,2,持平,37948756,3.14390834,0,0
600059,古越龙山,2020-09-30,2,增持,9715552,1.20164028,9715552,100
002313,日海智能,2020-09-30,2,持平,29112927,7.77588863,0,0
002665,首航高科,2020-09-30,2,减持,112574442,4.43429797,-29079160,-20.5283590317739
600615,丰华股份,2020-09-30,2,持平,8329321,4.43000664,0,0
600487,亨通光电,2020-09-30,2,减持,44798791,2.29412175,-676200,-1.48697115739946
600737,中粮糖业,2020-09-30,2,持平,32779859,1.53259397,0,0
300238,冠昊生物,2020-09-30,2,减持,17370759,6.55115426,-7424901,-29.9443571979935
300364,中文在线,2020-09-30,2,增持,23252900,3.19717448,14231700,157.758391344832
002097,山河智能,2020-09-30,2,增持,40339717,3.70940791,40339717,100
600358,*ST联合,2020-09-30,2,持平,16884458,3.34387644,0,0
600634,*ST富控,2020-09-30,2,增持,89743285,15.58768183,69720000,348.194614420161
000820,*ST节能,2020-09-30,2,持平,12047635,1.89058068,0,0
002716,*ST金贵,2020-09-30,2,减持,90007600,9.37112375,-9604700,-9.64208235328368
002681,*ST奋达,2020-09-30,2,持平,53694253,2.94268679,0,0
