股票代码,股票简称,时间,持有信托家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
002485,希努尔,2018-09-30,8,持平,37871257,6.96162813,0,0
002435,长江健康,2018-09-30,7,增持,68290007,8.18510427,491399,0.724792166824428
600738,兰州民百,2018-09-30,6,增持,95393667,12.18161447,1086700,1.15230086871525
000078,海王生物,2018-09-30,6,减持,143973922,5.43993051,-750068,-0.518274820919462
600978,*ST宜生,2018-09-30,6,减持,160825136,10.84553166,-7125000,-4.24233059269449
002411,延安必康,2018-09-30,6,持平,59307700,3.87054251,0,0
000711,京蓝科技,2018-09-30,6,持平,95673508,10.91347237,0,0
002256,*ST兆新,2018-09-30,5,增持,116255545,6.17588249,48466189,71.4952786983254
600129,太极集团,2018-09-30,5,减持,32643361,5.86171729,-505500,-1.52493927317744
000150,宜华健康,2018-09-30,5,增持,45356890,7.23479807,11786418,35.1094795450001
600687,退市刚泰,2018-09-30,5,增持,81125502,5.44936308,512494,0.635746032451735
600165,新日恒力,2018-09-30,5,减持,21542843,3.14547428,-46210814,-68.2041620277412
002010,传化智联,2018-09-30,5,减持,55182851,1.69386096,-4061334,-6.85524494935663
002509,天茂退,2018-09-30,5,增持,255986262,10.27029136,22050000,9.42564432358075
002862,实丰文化,2018-09-30,5,减持,3749818,4.6872725,-690163,-15.5442782300195
000703,恒逸石化,2018-09-30,4,减持,153983702,6.67233275,-26847647,-14.8467879869657
002147,*ST新光,2018-09-30,4,持平,62644170,3.42678071,0,0
002475,立讯精密,2018-09-30,4,增持,316111624,7.68265054,70602713,28.7576987378678
002630,华西能源,2018-09-30,4,减持,56534129,4.78778193,-147090205,-72.236064379221
000793,华闻集团,2018-09-30,4,减持,182754975,9.13183707,-86547319,-32.1376092696782
600811,东方集团,2018-09-30,4,减持,421804356,11.35538328,-6223824,-1.45406874846418
002085,万丰奥威,2018-09-30,4,持平,173103740,7.91555849,0,0
002145,中核钛白,2018-09-30,4,减持,132434906,8.32271951,-33503721,-20.190429200068
601127,小康股份,2018-09-30,4,减持,24919929,2.6514918,-1503108,-5.68862693565467
002359,*ST北讯,2018-09-30,4,减持,59263425,5.45105538,-10097387,-14.5577693063916
002564,天沃科技,2018-09-30,4,持平,84148945,9.53081579,0,0
600086,退市金钰,2018-09-30,4,持平,71671772,5.30902015,0,0
002408,齐翔腾达,2018-09-30,4,持平,133061322,7.49552887,0,0
000525,红太阳,2018-09-30,4,增持,28501580,4.90752604,2893900,11.3009066030191
002699,美盛文化,2018-09-30,4,增持,48711318,5.35540663,10302462,26.8231420378675
002377,国创高新,2018-09-30,4,减持,26958316,2.94200311,-333145,-1.22069316846027
000534,万泽股份,2018-09-30,4,增持,25604706,5.20648272,80800,0.316565967606996
300131,英唐智控,2018-09-30,4,减持,77526520,7.24867737,-11238800,-12.6612510381307
002712,思美传媒,2018-09-30,4,增持,63530513,10.93087423,25329859,66.3073962032168
600586,金晶科技,2018-09-30,4,持平,71440947,4.89891272,0,0
600882,妙可蓝多,2018-09-30,4,减持,57739755,14.06235508,-1599585,-2.69565687788236
000576,甘化科工,2018-09-30,4,减持,20426736,4.61244523,-35570255,-63.5217256584376
600515,海航基础,2018-09-30,4,减持,493708492,12.63459527,-124052123,-20.0809375003617
002751,易尚展示,2018-09-30,4,减持,8660707,5.6019875,-30850,-0.35494215823471
002450,*ST康得,2018-09-30,3,持平,120595044,3.40577352,0,0
