股票代码,股票简称,时间,持有QFII家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
600009,上海机场,2016-03-31,4,增持,93406951,4.84737754,6532272,7.51918979752432
000581,威孚高科,2016-03-31,4,减持,58385432,5.7867485,-2388810,-3.93062903195074
000333,美的集团,2016-03-31,4,减持,123699792,2.89872161,-14448733,-10.4588398609395
600519,贵州茅台,2016-03-31,4,增持,41629440,3.31392397,7279814,21.1932846081061
000089,深圳机场,2016-03-31,4,增持,99679142,4.86057265,45946880,85.5107867969526
600779,水井坊,2016-03-31,4,增持,21714847,4.44479341,4044528,22.8888227767705
600007,中国国贸,2016-03-31,4,减持,18197259,1.8065695,-298550,-1.61414945407362
603288,海天味业,2016-03-31,4,减持,12323158,0.45535986,-419059,-3.28874480790902
000895,双汇发展,2016-03-31,3,增持,58711669,1.77867382,20955130,55.5006644014696
000651,格力电器,2016-03-31,3,增持,157699410,2.62145055,27657584,21.2682218104197
000858,五粮液,2016-03-31,3,增持,79113303,2.08414111,79113303,100
000729,燕京啤酒,2016-03-31,3,增持,115676193,4.10411845,39391084,51.6366621433287
002032,苏泊尔,2016-03-31,3,增持,44896970,7.09412707,1441076,3.31618076940265
002311,海大集团,2016-03-31,3,减持,54474517,3.54337317,-4278561,-7.28227549201763
600312,平高电气,2016-03-31,3,增持,18329254,1.61138343,10465100,133.073436761284
000916,华北高速,2016-03-31,2,增持,11518289,1.05672376,2568282,28.6958658244625
600104,上汽集团,2016-03-31,2,增持,64164504,0.58196106,20066854,45.5054951907868
600761,安徽合力,2016-03-31,2,增持,14392017,2.33327051,6436708,80.9108483403976
600600,青岛啤酒,2016-03-31,2,增持,16731856,1.23849512,1063193,6.78547365528252
300275,梅安森,2016-03-31,2,持平,8878153,5.29925091,0,0
002027,分众传媒,2016-03-31,2,增持,3672250,0.08922125,3672250,100
600261,阳光照明,2016-03-31,2,减持,28651126,1.97307818,-73600,-0.256225246500176
600004,白云机场,2016-03-31,2,增持,23219204,2.01906121,16188895,230.272879897598
002304,洋河股份,2016-03-31,2,增持,28260498,1.87529682,2594261,10.1076795947922
002439,启明星辰,2016-03-31,2,增持,19603950,2.25607046,537262,2.8178045395194
600585,海螺水泥,2016-03-31,2,增持,78410090,1.47963036,4055925,5.45487263558134
300180,华峰超纤,2016-03-31,2,增持,8585155,2.17345696,8585155,100
600276,恒瑞医药,2016-03-31,2,增持,32463439,1.6592871,811931,2.56522058917382
600377,宁沪高速,2016-03-31,2,增持,52799400,1.04807555,10089200,23.6224602085684
000709,河钢股份,2016-03-31,2,增持,67646854,0.63705953,67646854,100
000822,山东海化,2016-03-31,2,减持,10426979,1.16490594,-258258,-2.41696089660903
