股票代码,股票简称,时间,持有QFII家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
002439,启明星辰,2018-12-31,5,增持,58954464,6.57465723,18535587,45.8587382326332
600456,宝钛股份,2018-12-31,5,增持,22277388,5.17758865,7084132,46.6268191623968
300750,宁德时代,2018-12-31,5,减持,17174274,0.78242086,-6247471,-26.6738067552183
601021,春秋航空,2018-12-31,3,减持,15706796,1.71303689,-6950501,-30.6766557370016
600761,安徽合力,2018-12-31,3,增持,37761634,5.10167704,16743123,79.658939684167
002583,海能达,2018-12-31,3,增持,114840739,6.25078697,5763225,5.28360501505379
600258,首旅酒店,2018-12-31,3,增持,34385588,3.51270748,7781092,29.2472821135195
000887,中鼎股份,2018-12-31,3,增持,34297878,2.80941297,999983,3.00314179019425
300003,乐普医疗,2018-12-31,3,减持,34629099,1.94365011,-5513196,-13.7341325402546
600132,重庆啤酒,2018-12-31,3,减持,40192214,8.30467064,-5805731,-12.6217182093678
000089,深圳机场,2018-12-31,3,减持,94823992,4.62382494,-19581517,-17.1158864386504
300166,东方国信,2018-12-31,3,增持,69608408,6.58746279,4866967,7.51754506051232
300545,联得装备,2018-12-31,3,增持,2751838,1.90943033,538559,24.3330822729534
601138,工业富联,2018-12-31,3,增持,21193433,0.10760655,1920478,9.96462659721874
002008,大族激光,2018-12-31,2,减持,25111813,2.35334967,-11385284,-31.1950399781111
600009,上海机场,2018-12-31,2,增持,34333255,1.78173302,1912391,5.89864292327311
601888,中国中免,2018-12-31,2,增持,31509066,1.6138008,110713,0.352607667032726
000333,美的集团,2018-12-31,2,减持,172471856,2.58848967,-7496357,-4.16537836045524
000613,大东海A,2018-12-31,2,减持,8118202,2.22966273,-4931600,-37.7906116889743
300347,泰格医药,2018-12-31,2,增持,20818166,4.16216364,6268824,43.0866495543235
600835,上海机电,2018-12-31,2,减持,41735124,3.00914767,-4545,-0.0108889219988783
002108,沧州明珠,2018-12-31,2,持平,17537698,1.23685724,0,0
002241,歌尔股份,2018-12-31,2,减持,70629288,2.17648769,-616869,-0.865827752646364
600519,贵州茅台,2018-12-31,2,增持,16167786,1.28704142,438270,2.78629043639995
600690,海尔智家,2018-12-31,2,增持,472522546,7.41978059,202848619,75.2199596218288
600004,白云机场,2018-12-31,2,减持,52116675,2.51854049,-742544,-1.40475779636472
002304,洋河股份,2018-12-31,2,减持,18385634,1.22002524,-238254,-1.27929248715413
600792,云煤能源,2018-12-31,2,增持,5819969,0.58792102,3409476,141.443098984316
600585,海螺水泥,2018-12-31,2,减持,51636256,0.9743972,-17063809,-24.8381264268091
002353,杰瑞股份,2018-12-31,2,增持,12503543,1.30537045,6964647,125.740707173415
002186,全聚德,2018-12-31,2,减持,17385224,5.63606337,-937300,-5.11556158965872
600361,华联综超,2018-12-31,2,增持,18747881,2.81580926,111438,0.597957453576307
600138,中青旅,2018-12-31,2,减持,23138862,3.19668187,-17805946,-43.487677363147
600201,生物股份,2018-12-31,2,减持,26623881,2.27450059,-10691429,-28.651588315895
000999,华润三九,2018-12-31,2,减持,28161141,2.87681489,-149807,-0.529148653022852
600867,通化东宝,2018-12-31,2,增持,70327926,3.45763634,9281377,15.2037701590634
603308,应流股份,2018-12-31,2,持平,8952762,2.06401669,0,0
000423,东阿阿胶,2018-12-31,2,减持,33324589,5.09533511,-104918,-0.313848481223489
600723,首商股份,2018-12-31,2,减持,19197815,2.91579507,-170091,-0.878210581980313
600229,城市传媒,2018-12-31,2,减持,10486558,1.49360741,-9651487,-47.9266333946518
002311,海大集团,2018-12-31,2,减持,43655352,2.76088073,-1710128,-3.76966803834105
300070,碧水源,2018-12-31,2,增持,65452067,2.07750655,30438669,86.9343472461599
300203,聚光科技,2018-12-31,2,减持,24308467,5.37183034,-5981080,-19.746350118739
300336,新文化,2018-12-31,2,持平,14816239,1.83750872,0,0
600452,涪陵电力,2018-12-31,2,持平,6791246,3.03180625,0,0
600781,*ST辅仁,2018-12-31,2,增持,4186658,0.66756085,2261006,117.415088499895
300433,蓝思科技,2018-12-31,2,减持,19223032,0.48953458,-28900764,-60.0550380522767
002185,华天科技,2018-12-31,2,增持,28057028,1.31654346,28057028,100
600533,栖霞建设,2018-12-31,2,减持,59653207,5.68125781,-24619255,-29.2138789062553
300450,先导智能,2018-12-31,2,增持,16825849,1.90843016,2178802,14.8753670279067
603868,飞科电器,2018-12-31,2,减持,5784198,1.32786915,-356611,-5.80723158789013
002833,弘亚数控,2018-12-31,2,持平,1784091,1.31877165,0,0
300616,尚品宅配,2018-12-31,2,持平,4583400,2.30694197,0,0
300595,欧普康视,2018-12-31,2,减持,3990810,1.77864068,-192765,-4.60766210716911
002920,德赛西威,2018-12-31,2,持平,2012877,0.36597764,0,0
002498,汉缆股份,2018-12-31,1,持平,2629604,0.07904314,0,0
603808,歌力思,2018-12-31,1,增持,3219394,0.95530139,470769,17.1274364454955
603601,再升科技,2018-12-31,1,增持,9632708,1.78179619,9632708,100
600739,辽宁成大,2018-12-31,1,持平,36036867,2.35579759,0,0
002092,中泰化学,2018-12-31,1,增持,25208263,1.17441672,25208263,100
000651,格力电器,2018-12-31,1,持平,43396407,0.72138212,0,0
600066,宇通客车,2018-12-31,1,减持,13105014,0.59193197,-494588,-3.63678289997016
002459,晶澳科技,2018-12-31,1,减持,12800000,3.29311826,-3838900,-23.0718376815775
600019,宝钢股份,2018-12-31,1,增持,151214167,0.67906747,597955,0.397005735345409
000726,鲁泰A,2018-12-31,1,增持,11635393,1.26114934,379800,3.37432243685428
000698,沈阳化工,2018-12-31,1,持平,1716100,0.2094045,0,0
600686,金龙汽车,2018-12-31,1,减持,9152399,1.50845856,-130755,-1.40851913045932
002017,东信和平,2018-12-31,1,持平,767109,0.22149953,0,0
000661,长春高新,2018-12-31,1,增持,1816275,1.06769197,1816275,100
600600,青岛啤酒,2018-12-31,1,增持,6679433,0.49441288,6679433,100
002294,信立泰,2018-12-31,1,减持,2658100,0.25411657,-2441794,-47.8793088640666
000402,金融街,2018-12-31,1,持平,13518927,0.4522999,0,0
600298,安琪酵母,2018-12-31,1,减持,7379152,0.89544019,-4345631,-37.0636369133655
600207,安彩高科,2018-12-31,1,持平,1024750,0.11874882,0,0
002228,合兴包装,2018-12-31,1,增持,17403515,1.4880943,17403515,100
600563,法拉电子,2018-12-31,1,持平,4366656,1.940736,0,0
600582,天地科技,2018-12-31,1,持平,30244520,0.73079305,0,0
002060,粤水电,2018-12-31,1,持平,6032274,0.50174369,0,0
000619,海螺型材,2018-12-31,1,持平,2333136,0.64809333,0,0
000589,贵州轮胎,2018-12-31,1,持平,3345876,0.43146744,0,0
000963,华东医药,2018-12-31,1,减持,10774468,0.73890108,-1256977,-10.4474317091588
000898,鞍钢股份,2018-12-31,1,减持,28914362,0.39965625,-7993411,-21.6577982096075
002470,*ST金正,2018-12-31,1,持平,29811839,0.90596344,0,0
002624,完美世界,2018-12-31,1,增持,13144609,0.99974232,150416,1.15756322843596
000753,漳州发展,2018-12-31,1,持平,3250833,0.32787646,0,0
300089,文化长城,2018-12-31,1,增持,6682594,1.38914844,3958523,145.31643999
000672,上峰水泥,2018-12-31,1,增持,2246544,0.27611715,2246544,100
000637,茂化实华,2018-12-31,1,持平,1284209,0.24702248,0,0
000792,*ST盐湖,2018-12-31,1,持平,28324450,1.01663779,0,0
600323,瀚蓝环境,2018-12-31,1,持平,10907777,1.42350114,0,0
000729,燕京啤酒,2018-12-31,1,减持,28541477,1.01263362,-2654288,-8.5084882515303
000498,山东路桥,2018-12-31,1,持平,1782000,0.15908739,0,0
600027,华电国际,2018-12-31,1,增持,47606946,0.48268335,47606946,100
601098,中南传媒,2018-12-31,1,减持,10982241,0.61148335,-43999393,-80.0256191003709
601339,百隆东方,2018-12-31,1,增持,10169764,0.67798427,10169764,100
600535,天士力,2018-12-31,1,增持,19258080,1.27312157,4430822,29.8829493625861
600396,金山股份,2018-12-31,1,持平,1680158,0.11408639,0,0
002032,苏泊尔,2018-12-31,1,减持,8749538,1.06540059,-1562443,-15.1517249692372
000429,粤高速A,2018-12-31,1,持平,10522779,0.50328813,0,0
002410,广联达,2018-12-31,1,持平,8194370,0.72738502,0,0
002294,信立泰,2018-12-31,1,减持,2658100,0.25411657,-2441794,-47.8793088640666
002459,晶澳科技,2018-12-31,1,减持,12800000,3.29311826,-3838900,-23.0718376815775
600027,华电国际,2018-12-31,1,增持,47606946,0.48268335,47606946,100
002060,粤水电,2018-12-31,1,持平,6032274,0.50174369,0,0
603225,新凤鸣,2018-12-31,1,减持,1186224,0.14074592,-549900,-31.674004852188
603160,汇顶科技,2018-12-31,1,增持,8001176,1.75213992,8001176,100
002081,金螳螂,2018-12-31,1,持平,32571672,1.23223111,0,0
002572,索菲亚,2018-12-31,1,持平,10722913,1.16120939,0,0
000726,鲁泰A,2018-12-31,1,增持,11635393,1.26114934,379800,3.37432243685428
600686,金龙汽车,2018-12-31,1,减持,9152399,1.50845856,-130755,-1.40851913045932
002017,东信和平,2018-12-31,1,持平,767109,0.22149953,0,0
600600,青岛啤酒,2018-12-31,1,增持,6679433,0.49441288,6679433,100
600298,安琪酵母,2018-12-31,1,减持,7379152,0.89544019,-4345631,-37.0636369133655
600207,安彩高科,2018-12-31,1,持平,1024750,0.11874882,0,0
000935,四川双马,2018-12-31,1,持平,997575,0.13066836,0,0
002228,合兴包装,2018-12-31,1,增持,17403515,1.4880943,17403515,100
603650,彤程新材,2018-12-31,1,增持,345100,0.05889204,345100,100
000582,北部湾港,2018-12-31,1,持平,1268265,0.07758791,0,0
300271,华宇软件,2018-12-31,1,减持,11172563,1.48080709,-1112359,-9.05466880457198
601169,北京银行,2018-12-31,1,持平,2755013100,11.7747161,0,0
600276,恒瑞医药,2018-12-31,1,增持,55395866,1.50447326,5969287,12.0770790145116
600582,天地科技,2018-12-31,1,持平,30244520,0.73079305,0,0
000619,海螺型材,2018-12-31,1,持平,2333136,0.64809333,0,0
600054,黄山旅游,2018-12-31,1,持平,10212938,1.36664499,0,0
000589,贵州轮胎,2018-12-31,1,持平,3345876,0.43146744,0,0
600801,华新水泥,2018-12-31,1,减持,20711642,1.3830154,-3329135,-13.8478677290672
300760,迈瑞医疗,2018-12-31,1,新进,1048064,0.08621136,1048064,0.08621136
601066,中信建投,2018-12-31,1,减持,5789277,0.0757126,-1345400,-18.8571956375881
000049,德赛电池,2018-12-31,1,减持,1480349,0.72126391,-691217,-31.8303473161764
002624,完美世界,2018-12-31,1,增持,13144609,0.99974232,150416,1.15756322843596
000753,漳州发展,2018-12-31,1,持平,3250833,0.32787646,0,0
300089,文化长城,2018-12-31,1,增持,6682594,1.38914844,3958523,145.31643999
000923,河钢资源,2018-12-31,1,持平,568600,0.0871112,0,0
601139,深圳燃气,2018-12-31,1,增持,8599220,0.29888626,8599220,100
000672,上峰水泥,2018-12-31,1,增持,2246544,0.27611715,2246544,100
000637,茂化实华,2018-12-31,1,持平,1284209,0.24702248,0,0
000418,小天鹅A,2018-12-31,1,持平,8070506,1.27599401,0,0
000792,*ST盐湖,2018-12-31,1,持平,28324450,1.01663779,0,0
600323,瀚蓝环境,2018-12-31,1,持平,10907777,1.42350114,0,0
000498,山东路桥,2018-12-31,1,持平,1782000,0.15908739,0,0
000976,华铁股份,2018-12-31,1,持平,5002059,0.31347531,0,0
600665,天地源,2018-12-31,1,持平,3429500,0.39687659,0,0
601339,百隆东方,2018-12-31,1,增持,10169764,0.67798427,10169764,100
601098,中南传媒,2018-12-31,1,减持,10982241,0.61148335,-43999393,-80.0256191003709
600885,宏发股份,2018-12-31,1,增持,8152534,1.09465022,8152534,100
600126,杭钢股份,2018-12-31,1,增持,2213476,0.06554196,2213476,100
300180,华峰超纤,2018-12-31,1,增持,50188293,4.41862257,2750000,5.79700454230088
002285,世联行,2018-12-31,1,增持,44666991,2.18637424,3823800,9.36214802609326
002273,水晶光电,2018-12-31,1,减持,6678392,0.77401652,-5516717,-45.2371274418293
603605,珀莱雅,2018-12-31,1,减持,1378423,0.6845487,-4645356,-77.1169725848176
300107,建新股份,2018-12-31,1,增持,1891210,0.34521161,1891210,100
600248,陕西建工,2018-12-31,1,持平,1639667,0.17862217,0,0
002285,世联行,2018-12-31,1,增持,44666991,2.18637424,3823800,9.36214802609326
600007,中国国贸,2018-12-31,1,持平,10024491,0.99520151,0,0
600078,澄星股份,2018-12-31,1,持平,1678333,0.25330542,0,0
601519,大智慧,2018-12-31,1,减持,5052418,0.25418413,-10859465,-68.247516651549
601008,连云港,2018-12-31,1,持平,1211925,0.11937618,0,0
300206,理邦仪器,2018-12-31,1,持平,5862253,1.00209453,0,0
000796,凯撒旅业,2018-12-31,1,减持,21298996,2.65242704,-1127931,-5.02936046476631
300284,苏交科,2018-12-31,1,持平,11498660,1.42045574,0,0
002573,清新环境,2018-12-31,1,减持,1956200,0.18091653,-166000,-7.82207143530299
300278,华昌达,2018-12-31,1,减持,8944900,1.49464442,-5902361,-39.7538711012085
002081,金螳螂,2018-12-31,1,持平,32571672,1.23223111,0,0
000418,小天鹅A,2018-12-31,1,持平,8070506,1.27599401,0,0
601106,中国一重,2018-12-31,1,持平,8961700,0.13067926,0,0
600308,华泰股份,2018-12-31,1,增持,4233284,0.36257484,63900,1.5326004992584
601872,招商轮船,2018-12-31,1,持平,33441471,0.55123795,0,0
600139,西部资源,2018-12-31,1,持平,4171651,0.630263,0,0
002050,三花智控,2018-12-31,1,增持,19700204,0.92461142,9238719,88.3117358577678
002078,太阳纸业,2018-12-31,1,增持,17091386,0.65923716,17091386,100
002597,金禾实业,2018-12-31,1,减持,2638363,0.47217472,-1391793,-34.5344696334335
