股票代码,股票简称,时间,持有QFII家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
002439,启明星辰,2019-06-30,4,减持,54555127,6.08403903,-6185371,-10.1832734397403
300203,聚光科技,2019-06-30,4,减持,29344265,6.48467109,-3311341,-10.1401915493468
600456,宝钛股份,2019-06-30,4,减持,19881212,4.62068253,-2672995,-11.8514253238875
300003,乐普医疗,2019-06-30,4,减持,40282748,2.26097618,-1935245,-4.58393415338337
300133,华策影视,2019-06-30,3,增持,74014099,4.21570928,9510381,14.7439268539528
000333,美的集团,2019-06-30,3,减持,233332113,3.36130003,-4413958,-1.8565850453108
600009,上海机场,2019-06-30,3,减持,48670347,2.52576007,-1002532,-2.01826835927911
601888,中国中免,2019-06-30,3,增持,39822241,2.03957694,997656,2.56965013277025
300166,东方国信,2019-06-30,3,增持,67454428,6.38361869,1354920,2.04981858563909
600761,安徽合力,2019-06-30,3,增持,59332259,8.01591433,16520885,38.5899434108328
300271,华宇软件,2019-06-30,3,增持,30602378,3.776067,6267289,25.7541240140934
000089,深圳机场,2019-06-30,3,减持,78886037,3.84665545,-17218386,-17.9163304481834
603868,飞科电器,2019-06-30,3,减持,4661162,1.07005556,-180766,-3.73334754254917
002353,杰瑞股份,2019-06-30,2,增持,20717761,2.16293518,3824096,22.636272235776
000423,东阿阿胶,2019-06-30,2,减持,13838647,2.11593139,-19502742,-58.4940897333341
002008,大族激光,2019-06-30,2,增持,53186921,4.98439433,19234680,56.6521662001633
300450,先导智能,2019-06-30,2,增持,18471851,2.09531844,1731896,10.345882052849
002241,歌尔股份,2019-06-30,2,减持,60049820,1.85047446,-9170666,-13.2484854266987
603737,三棵树,2019-06-30,2,增持,2563734,1.37553782,1660480,183.833118923359
600585,海螺水泥,2019-06-30,2,减持,50771437,0.95807772,-761399,-1.47750261600196
603833,欧派家居,2019-06-30,2,增持,3412474,0.81212342,1656846,94.3734094010804
000999,华润三九,2019-06-30,2,增持,30237686,3.08894535,2762829,10.0558448766449
000887,中鼎股份,2019-06-30,2,增持,39398391,3.22720695,13071043,49.6481567380049
600183,生益科技,2019-06-30,2,增持,37727688,1.73299422,18265682,93.8530283055097
300015,爱尔眼科,2019-06-30,2,增持,71569442,2.3098882,15353157,27.31087086242
600025,华能水电,2019-06-30,2,减持,36523320,0.20290734,-12381912,-25.3181745462326
002583,海能达,2019-06-30,2,减持,59651758,3.24684806,-22221582,-27.1414137984355
300070,碧水源,2019-06-30,2,减持,59190207,1.87874957,-6261860,-9.56709281618257
600066,宇通客车,2019-06-30,2,增持,39196898,1.77045953,1471212,3.89976208782526
002294,信立泰,2019-06-30,2,增持,4740307,0.45317729,2082207,78.3344117979008
000613,大东海A,2019-06-30,2,持平,8118202,2.22966273,0,0
600600,青岛啤酒,2019-06-30,2,增持,8841436,0.65444475,2155639,32.2420647830019
300347,泰格医药,2019-06-30,2,增持,17984906,3.59571165,3435564,23.6131915793855
600323,瀚蓝环境,2019-06-30,2,增持,22800829,2.97558394,12893143,130.132737351587
600787,中储股份,2019-06-30,2,增持,18580721,0.84465462,18580721,100
601118,海南橡胶,2019-06-30,2,增持,54928188,1.28354047,20742625,60.6765639635656
002186,全聚德,2019-06-30,2,减持,13291390,4.30889566,-2873040,-17.7738404632888
002032,苏泊尔,2019-06-30,2,增持,8585116,1.0453795,2693471,45.716790471931
600138,中青旅,2019-06-30,2,增持,23863874,3.29684378,1958938,8.9429067494194
600132,重庆啤酒,2019-06-30,2,减持,23665881,4.88993583,-11900579,-33.4601166379786
002541,鸿路钢构,2019-06-30,2,增持,7801614,1.48965689,3907323,100.334643713066
002392,北京利尔,2019-06-30,2,增持,10285636,0.8639828,7763200,307.765984944712
603416,信捷电气,2019-06-30,2,增持,3081708,2.1924502,1360018,78.9931985432918
300298,三诺生物,2019-06-30,2,减持,30494805,5.39430571,-21840,-0.0715675002936922
600229,城市传媒,2019-06-30,2,持平,10486558,1.49360741,0,0
300383,光环新网,2019-06-30,2,增持,23935309,1.5530348,7139309,42.5060073827102
300308,中际旭创,2019-06-30,2,增持,6049588,0.84755736,3185871,111.249505450434
600308,华泰股份,2019-06-30,2,增持,6892611,0.59034248,1345603,24.2581766602824
300336,新文化,2019-06-30,2,减持,14822012,1.83843426,-148828,-0.994119234458454
600452,涪陵电力,2019-06-30,2,增持,9507744,3.03180612,2716498,39.9999941100646
601872,招商轮船,2019-06-30,2,增持,81590057,1.34490303,40212819,97.1858464791681
600071,凤凰光学,2019-06-30,2,增持,11200000,3.97764155,770487,7.38756450085445
