股票代码,股票简称,时间,持有QFII家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
002439,启明星辰,2019-03-31,5,增持,60740498,6.77383742,1786034,3.02951444016182
300003,乐普医疗,2019-03-31,4,增持,42217993,2.36959694,7588894,21.9147890622277
300203,聚光科技,2019-03-31,4,增持,32655606,7.21643102,8347139,34.3384015125265
600456,宝钛股份,2019-03-31,4,增持,22554207,5.2419254,276819,1.24260079323483
603868,飞科电器,2019-03-31,4,减持,4841928,1.11155371,-942270,-16.2904174442161
002008,大族激光,2019-03-31,3,增持,33952241,3.18182598,8840428,35.2042602419825
300133,华策影视,2019-03-31,3,增持,64503718,3.63754218,43639365,209.157528153401
000333,美的集团,2019-03-31,3,增持,237746071,3.60452638,65274215,37.8462993985523
600009,上海机场,2019-03-31,3,增持,49672879,2.57778672,15339624,44.6786184415081
600132,重庆啤酒,2019-03-31,3,减持,35566460,7.34887947,-4625754,-11.5090798431756
300271,华宇软件,2019-03-31,3,增持,24335089,3.22536308,13162526,117.811159355289
300166,东方国信,2019-03-31,3,减持,66099508,6.25539445,-3508900,-5.04091402291516
600761,安徽合力,2019-03-31,3,增持,42811374,5.78390765,5049740,13.3726734388666
601138,工业富联,2019-03-31,3,持平,21193433,0.10760655,0,0
002185,华天科技,2019-03-31,3,增持,31985296,1.50087287,3928268,14.0010125092365
600361,华联综超,2019-03-31,3,增持,20565266,3.08876862,1817385,9.69381553040581
000089,深圳机场,2019-03-31,3,增持,96104423,4.68626156,1280431,1.35032387162101
300750,宁德时代,2019-03-31,3,减持,10836478,0.49368529,-6337796,-36.9028466647266
600867,通化东宝,2019-03-31,2,减持,46944198,2.30798737,-23383728,-33.2495629118936
600585,海螺水泥,2019-03-31,2,减持,51532836,0.97244563,-103420,-0.200285628764409
000898,鞍钢股份,2019-03-31,2,增持,36737335,0.50778591,7822973,27.0556652780373
603808,歌力思,2019-03-31,2,增持,6564958,1.97326999,3345564,103.919060543692
300408,三环集团,2019-03-31,2,增持,26249131,1.50561315,26249131,100
002092,中泰化学,2019-03-31,2,增持,48188929,2.2450529,22980666,91.1632269149207
002304,洋河股份,2019-03-31,2,减持,16398970,1.08819513,-1986664,-10.8055234864351
600519,贵州茅台,2019-03-31,2,增持,16302999,1.29780509,135213,0.836311168393743
002241,歌尔股份,2019-03-31,2,减持,69220486,2.13307454,-1408802,-1.99464278898012
000887,中鼎股份,2019-03-31,2,减持,26327348,2.15652971,-7970530,-23.2391345027235
300433,蓝思科技,2019-03-31,2,增持,20723032,0.52773105,1500000,7.80313948392741
002583,海能达,2019-03-31,2,减持,81873340,4.45636985,-32967399,-28.7070592605643
300070,碧水源,2019-03-31,2,持平,65452067,2.07750655,0,0
600066,宇通客车,2019-03-31,2,增持,37725686,1.7040073,24620672,187.872153360538
603689,皖天然气,2019-03-31,2,增持,2099500,0.62485119,2099500,100
601888,中国中免,2019-03-31,2,增持,38824585,1.98847997,7315519,23.2171877135298
300308,中际旭创,2019-03-31,2,增持,2863717,0.60230981,2863717,100
000423,东阿阿胶,2019-03-31,2,增持,33341389,5.09790383,16800,0.0504132249012884
002060,粤水电,2019-03-31,2,增持,9473174,0.78794585,3440900,57.0415070668209
000726,鲁泰A,2019-03-31,2,增持,21809212,2.36388005,10173819,87.4385506359777
000698,沈阳化工,2019-03-31,2,增持,4001200,0.48824036,2285100,133.156575957112
000613,大东海A,2019-03-31,2,持平,8118202,2.22966273,0,0
600718,东软集团,2019-03-31,2,增持,21967748,1.7682126,21967748,100
300595,欧普康视,2019-03-31,2,减持,3570210,1.59118593,-420600,-10.5392138438061
002311,海大集团,2019-03-31,2,减持,37953136,2.4002574,-5702216,-13.0618944499634
600258,首旅酒店,2019-03-31,2,减持,20049966,2.04823211,-14335622,-41.6907862677817
600835,上海机电,2019-03-31,2,增持,45259086,3.35370879,3523962,8.44363610852097
600533,栖霞建设,2019-03-31,2,减持,49753207,4.73840067,-9900000,-16.595922495835
000589,贵州轮胎,2019-03-31,2,增持,7389776,0.95294857,4043900,120.862219639939
300336,新文化,2019-03-31,2,增持,14970840,1.856894,154601,1.04345643992379
000999,华润三九,2019-03-31,2,减持,27474857,2.80670722,-686284,-2.43698932511293
002490,山东墨龙,2019-03-31,2,增持,5797199,0.72660408,5797199,100
002304,洋河股份,2019-03-31,2,减持,16398970,1.08819513,-1986664,-10.8055234864351
002490,山东墨龙,2019-03-31,2,增持,5797199,0.72660408,5797199,100
002186,全聚德,2019-03-31,2,减持,16164430,5.24029784,-1220794,-7.02202053882078
600138,中青旅,2019-03-31,2,减持,21904936,3.02621242,-1233926,-5.33269959430157
603308,应流股份,2019-03-31,2,持平,8952762,2.06401669,0,0
600159,大龙地产,2019-03-31,2,增持,5683409,0.68474541,2763000,94.6100357860834
603331,百达精工,2019-03-31,2,增持,622073,0.48135659,622073,100
600723,首商股份,2019-03-31,2,减持,19008924,2.88710601,-188891,-0.983919263728711
300298,三诺生物,2019-03-31,2,增持,30516645,5.39816905,21448581,236.528778358865
600229,城市传媒,2019-03-31,2,持平,10486558,1.49360741,0,0
300308,中际旭创,2019-03-31,2,增持,2863717,0.60230981,2863717,100
002263,大东南,2019-03-31,2,增持,14430082,0.76822767,14430082,100
300433,蓝思科技,2019-03-31,2,增持,20723032,0.52773105,1500000,7.80313948392741
300336,新文化,2019-03-31,2,增持,14970840,1.856894,154601,1.04345643992379
600248,陕西建工,2019-03-31,2,增持,3067987,0.33422061,1428320,87.1103705813437
600452,涪陵电力,2019-03-31,2,持平,6791246,3.03180625,0,0
300595,欧普康视,2019-03-31,2,减持,3570210,1.59118593,-420600,-10.5392138438061
