股票代码,股票简称,时间,持有QFII家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
000858,五粮液,2016-09-30,5,增持,123539487,3.25449342,47304504,62.0509143420416
600779,水井坊,2016-09-30,5,增持,37491168,7.67403502,10359912,38.1844172639851
603288,海天味业,2016-09-30,5,增持,12271274,0.45365979,688466,5.94386093596648
000651,格力电器,2016-09-30,4,增持,249070998,4.14032813,91371588,57.9403486671256
000581,威孚高科,2016-09-30,4,增持,68474674,6.78672236,677076,0.998672548841627
600519,贵州茅台,2016-09-30,4,减持,38853893,3.09297572,-115383,-0.296087102054449
600585,海螺水泥,2016-09-30,4,增持,132364270,2.49776773,52743040,66.2424330797201
000089,深圳机场,2016-09-30,4,减持,140362737,6.8443936,-14591276,-9.4165202420411
600312,平高电气,2016-09-30,4,增持,23587079,2.07361567,2047604,9.50628555245659
002415,海康威视,2016-09-30,4,增持,243593770,3.99127394,87323073,55.8793648946226
600009,上海机场,2016-09-30,3,减持,74392140,3.86059908,-10959980,-12.8408995582066
600322,天房发展,2016-09-30,3,增持,68584434,6.20280673,68584434,100
000729,燕京啤酒,2016-09-30,3,减持,110855897,3.93309738,-43990381,-28.4090657962085
002439,启明星辰,2016-09-30,3,增持,31898831,3.67099541,12294881,62.7163454303852
600361,华联综超,2016-09-30,3,增持,15768623,2.36834418,3885845,32.7014861339663
600132,重庆啤酒,2016-09-30,3,增持,16292587,3.36643731,16292587,100
600377,宁沪高速,2016-09-30,3,减持,55679073,1.10523747,-3140010,-5.33842052586913
300133,华策影视,2016-09-30,3,增持,30849820,1.76625268,22720143,279.471656746018
002311,海大集团,2016-09-30,3,增持,60227407,3.90645692,5151242,9.35294242073681
600007,中国国贸,2016-09-30,3,增持,13854411,1.37542453,65639,0.476032238403826
600308,华泰股份,2016-09-30,3,增持,17217020,1.47461365,2284666,15.3001060649915
300433,蓝思科技,2016-09-30,3,增持,10309942,0.47258567,7659546,288.996285838041
002008,大族激光,2016-09-30,2,减持,13593327,1.27389839,-3105751,-18.5983381837009
000916,华北高速,2016-09-30,2,持平,13357571,1.22546523,0,0
601021,春秋航空,2016-09-30,2,减持,7296872,0.91210901,-823128,-10.1370443349754
002475,立讯精密,2016-09-30,2,增持,29008198,1.53811153,15510661,114.914750743043
600066,宇通客车,2016-09-30,2,增持,59791702,2.70069302,23462,0.0392549621671978
600761,安徽合力,2016-09-30,2,增持,15224932,2.46830482,1356442,9.78074757958509
600019,宝钢股份,2016-09-30,2,持平,62203939,0.37775073,0,0
600178,东安动力,2016-09-30,2,增持,6064854,1.31251168,6064854,100
002470,*ST金正,2016-09-30,2,减持,52372199,1.6673562,-6093217,-10.4219167789724
600962,国投中鲁,2016-09-30,2,增持,3902290,1.48823081,3902290,100
002027,分众传媒,2016-09-30,2,减持,8520311,0.09752172,-8822837,-50.8721773002225
600690,海尔智家,2016-09-30,2,增持,111291832,1.82516516,64514079,137.916156425898
002304,洋河股份,2016-09-30,2,增持,30036973,1.99317931,2254659,8.11544711502433
002032,苏泊尔,2016-09-30,2,减持,20572862,3.25640692,-13808594,-40.1629122396678
300180,华峰超纤,2016-09-30,2,持平,8585155,1.80740105,0,0
600276,恒瑞医药,2016-09-30,2,增持,46341511,1.97385823,4985389,12.0547787338474
600196,复星医药,2016-09-30,2,增持,35185098,1.52048194,3253148,10.1877523921965
000999,华润三九,2016-09-30,2,增持,16707776,1.70679089,3454264,26.0630088085332
603308,应流股份,2016-09-30,2,增持,4606774,1.06206983,2943774,177.015874924835
002508,老板电器,2016-09-30,2,增持,18092674,2.47825583,1085677,6.38370783507518
000822,山东海化,2016-09-30,2,增持,12729979,1.42219795,884700,7.46879832885321
600723,首商股份,2016-09-30,2,增持,18236576,2.76980055,933738,5.39644421337124
002322,理工环科,2016-09-30,2,增持,5167157,1.28755636,999934,23.9952121592725
600965,福成股份,2016-09-30,2,增持,9642200,1.17774383,4372250,82.9656827863642
000550,江铃汽车,2016-09-30,2,增持,11545652,1.33751908,11545652,100
601799,星宇股份,2016-09-30,2,增持,3608981,1.30686678,3608981,100
002468,申通快递,2016-09-30,2,减持,5947716,1.79269025,-1731440,-22.5472695176397
601908,京运通,2016-09-30,2,增持,8966800,0.4489421,8966800,100
300187,永清环保,2016-09-30,2,增持,7031142,1.08571478,4286142,156.143606557377
002299,圣农发展,2016-09-30,2,增持,16640582,1.49793699,8657992,108.460938116576
002573,清新环境,2016-09-30,2,持平,7625091,0.71083257,0,0
002418,*ST康盛,2016-09-30,2,增持,8032074,0.70679989,8032074,100
002403,爱仕达,2016-09-30,2,增持,6172360,1.7619165,1308345,26.8984573443955
002207,准油股份,2016-09-30,2,持平,5463342,2.28422188,0,0
002358,森源电气,2016-09-30,2,增持,9427013,1.01392227,9427013,100
002634,棒杰股份,2016-09-30,2,减持,6247210,1.35513559,-1000000,-13.7984134584206
600273,嘉化能源,2016-09-30,2,增持,16674743,1.27650089,16674743,100
000789,万年青,2016-09-30,2,增持,7396066,1.20581931,1938255,35.5134137111014
300018,中元股份,2016-09-30,2,增持,10039898,2.08802819,4799632,91.591381048214
300017,网宿科技,2016-09-30,2,减持,12252894,1.53268634,-688075,-5.31702842345113
000976,华铁股份,2016-09-30,2,减持,12676259,0.79441169,-4845207,-27.6529772109252
300422,博世科,2016-09-30,2,增持,2269281,1.78283458,1507700,197.969749770543
000895,双汇发展,2016-09-30,1,减持,20740432,0.62858208,-24998258,-54.6545124051432
600580,卧龙电驱,2016-09-30,1,持平,5412716,0.41994862,0,0
002498,汉缆股份,2016-09-30,1,增持,1438384,0.04323632,1438384,100
600104,上汽集团,2016-09-30,1,减持,24061646,0.21823501,-23271727,-49.1655792203949
000566,海南海药,2016-09-30,1,增持,5499773,0.41166605,5499773,100
600577,精达股份,2016-09-30,1,持平,4513963,0.23085496,0,0
600739,辽宁成大,2016-09-30,1,减持,63125389,0.8580313,-7809900,-11.0098938202677
