股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%
600519,贵州茅台,2019-09-30,129,减持,1529003,1802283450,-143687,-8.59017510716271
601318,中国平安,2019-09-30,124,减持,23029528,2015184240.91,-948593,-3.95607729229492
600887,伊利股份,2019-09-30,111,增持,63145901,1799014962,9006201,16.6351143430791
000651,格力电器,2019-09-30,92,增持,9054202,521035830.6,4592779,102.944262402377
600276,恒瑞医药,2019-09-30,68,增持,4411398,359897282.44,574541,14.9742614853772
601166,兴业银行,2019-09-30,65,增持,9548888,167904006.64,5909983,162.411027493161
600036,招商银行,2019-09-30,61,增持,10387321,360185811.95,3035044,41.2803271693926
000858,五粮液,2019-09-30,58,减持,24173511,2011185125.92,-6810358,-21.9803343475277
600048,保利地产,2019-09-30,54,增持,20791692,297321195.6,3996600,23.7962376151318
600030,中信证券,2019-09-30,50,增持,9622528,216314429.44,5096788,112.617781843411
000001,平安银行,2019-09-30,50,增持,35779854,558659730.28,13713063,62.1434398866605
000333,美的集团,2019-09-30,44,减持,15475706,793449169.1,-4637774,-23.0580386884816
000895,双汇发展,2019-09-30,44,增持,18054624,448715612.4,11779714,187.727218398352
601398,工商银行,2019-09-30,43,增持,70094800,383431607.28,12543717,21.7957966142879
601328,交通银行,2019-09-30,37,增持,16275723,89646630.35,7858123,93.3534855540772
600741,华域汽车,2019-09-30,34,增持,6190929,145486831,4194527,210.104327685506
000002,万科A,2019-09-30,32,减持,461981784,11965328205.6,-5819964,-1.24410907502637
000661,长春高新,2019-09-30,32,减持,301140,118757570.4,-46899,-13.4752139846397
603899,晨光文具,2019-09-30,31,减持,2056705,91646774.8,-521899,-20.2395947574734
601601,中国太保,2019-09-30,30,增持,1448774,50518749.38,1385000,2171.73142660018
601933,永辉超市,2019-09-30,30,减持,128307946,1140657639.94,-705290,-0.546680342162722
600352,浙江龙盛,2019-09-30,29,增持,44591711,627811653.3,9576171,27.3483459058464
600016,民生银行,2019-09-30,29,增持,9634844,58520304.88,8914560,1237.6451510793
601336,新华保险,2019-09-30,29,增持,851580,41446398.6,112880,15.2808988764045
600803,新奥股份,2019-09-30,29,增持,28455855,295777465.84,3772153,15.2819581114697
600104,上汽集团,2019-09-30,28,增持,3447688,81986020.64,2796410,429.37271027119
002415,海康威视,2019-09-30,28,增持,104226357,3366511331.1,9121654,9.59117027051754
600000,浦发银行,2019-09-30,26,增持,3334671,39481504.64,2856871,597.921933863541
601888,中国国旅,2019-09-30,26,减持,913329,85076423.77,-784625,-46.2100268911879
000963,华东医药,2019-09-30,25,增持,10464782,274177288.4,1102952,11.7813718044442
600201,生物股份,2019-09-30,23,增持,3060020,57742577.4,2879820,1598.1243063263
300122,智飞生物,2019-09-30,21,增持,1422783,67511053.35,1128483,383.446483180428
002475,立讯精密,2019-09-30,21,增持,6964662,185595225.12,1030149,17.3586105549015
300144,宋城演艺,2019-09-30,21,减持,7021380,198356677.18,-5079823,-41.977834765684
000568,泸州老窖,2019-09-30,20,减持,4959823,426045426.06,-3374809,-40.4913978205636
601988,中国银行,2019-09-30,20,增持,6816500,25430172,6687900,5200.54432348367
002372,伟星新材,2019-09-30,20,减持,14654641,231585621.9,-1769489,-10.7737152591949
300529,健帆生物,2019-09-30,20,减持,1950554,148047048.6,-625134,-24.2705638260535
002583,海能达,2019-09-30,20,增持,29540596,303086514.96,1566500,5.59982349384945
600426,华鲁恒升,2019-09-30,19,减持,44171893,725744201.99,-15883402,-26.4479626650739
300498,温氏股份,2019-09-30,19,增持,871720,32410549.6,220220,33.8019953952418
601288,农业银行,2019-09-30,18,增持,52651721,183277656.66,33029736,168.330247933632
600583,海油工程,2019-09-30,18,增持,7751307,41779544.73,3981711,105.626995571939
300059,东方财富,2019-09-30,17,增持,10807506,165063863.48,3750509,53.1459627940893
601021,春秋航空,2019-09-30,17,增持,22054987,938439696.85,9819514,80.2544699334468
600196,复星医药,2019-09-30,17,减持,1229655,31073381.85,-12326326,-90.9290592838689
300369,绿盟科技,2019-09-30,17,减持,27949869,469632450.04,-3416134,-10.89119962145
600600,青岛啤酒,2019-09-30,17,增持,1532000,74302000,772889,101.815017830067
002690,美亚光电,2019-09-30,17,减持,19077466,627347299.26,-541620,-2.76067906527348
600315,上海家化,2019-09-30,17,减持,15291125,526926506.6,-227619,-1.4667359678077
300369,绿盟科技,2019-09-30,17,减持,27949869,469632450.04,-3416134,-10.89119962145
300015,爱尔眼科,2019-09-30,16,减持,1655952,60790330.44,-133163,-7.44295363908972
600066,宇通客车,2019-09-30,15,减持,2044418,28417410.2,-11400333,-84.7939318474548
600585,海螺水泥,2019-09-30,15,减持,435771,18014773.14,-197099,-31.1436787965933
601818,光大银行,2019-09-30,15,减持,3145100,12836126,-352400,-10.0757684060043
300357,我武生物,2019-09-30,15,增持,960201,39637097.28,703913,274.657026470221
600258,首旅酒店,2019-09-30,14,减持,1108357,18609314.03,-505939,-31.3411542864506
600885,宏发股份,2019-09-30,13,增持,362640,9171165.6,176240,94.549356223176
002311,海大集团,2019-09-30,13,增持,17821404,557809945.2,3981876,28.7717615803082
601799,星宇股份,2019-09-30,13,减持,2081526,160589730.9,-1359609,-39.510481280159
300166,东方国信,2019-09-30,13,增持,25569412,326947818.16,4226500,19.802827280551
300383,光环新网,2019-09-30,13,增持,4722605,87746000.9,4477205,1824.45191524042
601877,正泰电器,2019-09-30,12,增持,35035611,764827388.13,3085774,9.65818385865318
600031,三一重工,2019-09-30,12,增持,1246196,17795678.88,501200,67.2755289961288
600566,济川药业,2019-09-30,12,减持,5928685,167900349.2,-4073250,-40.7246197860714
600004,白云机场,2019-09-30,12,增持,470500,10562725,450100,2206.37254901961
000591,太阳能,2019-09-30,12,减持,102910764,324168906.6,-6635036,-6.05686023562747
600872,中炬高新,2019-09-30,12,增持,3126471,132656164.53,2756571,745.220600162206
600483,福能股份,2019-09-30,11,增持,2843217,24366369.69,1493265,110.616155241075
600038,中直股份,2019-09-30,11,增持,155362,6978861.04,137462,767.944134078212
000977,浪潮信息,2019-09-30,11,减持,1001900,25748830,-5004100,-83.3183483183483
002027,分众传媒,2019-09-30,11,减持,16333065,85748591.25,-16334244,-50.0018045563533
002241,歌尔股份,2019-09-30,11,减持,464100,13432878,-1655300,-78.1022931018213
600660,福耀玻璃,2019-09-30,11,减持,856624,18400283.52,-274714,-24.2822215818792
601100,恒立液压,2019-09-30,11,增持,528251,20337663.5,525651,20217.3461538462
300271,华宇软件,2019-09-30,11,减持,1333840,29011020,-14119883,-91.3688112566791
002250,联化科技,2019-09-30,11,减持,25315068,326183226.52,-4014520,-13.6876112954604
300244,迪安诊断,2019-09-30,11,增持,4926897,120758245.47,1094797,28.5691135408784
300457,赢合科技,2019-09-30,11,增持,17851491,437540044.41,5105253,40.0530179963688
601966,玲珑轮胎,2019-09-30,11,增持,2525744,51474662.72,656972,35.1552784395314
002916,深南电路,2019-09-30,11,增持,80580,12167580,70580,705.8
002179,中航光电,2019-09-30,10,减持,755634,31117008.12,-2647660,-77.7969813950837
002127,南极电商,2019-09-30,10,减持,41573239,428620094.09,-11935641,-22.3059069821682
601688,华泰证券,2019-09-30,10,减持,249567993,4764252986.37,-211700,-0.084754688204377
600690,海尔智家,2019-09-30,10,减持,768300,11754990,-16496044,-95.5497874694804
002672,东江环保,2019-09-30,10,减持,11214083,108664254.12,-10155154,-47.5223050780896
002384,东山精密,2019-09-30,10,增持,969391,19097002.7,969391,100
002531,天顺风能,2019-09-30,10,减持,650588,4541104.24,-1113571,-63.1219181491011
601998,中信银行,2019-09-30,10,增持,1280600,7222584,900600,237
600612,老凤祥,2019-09-30,10,减持,4029450,202760943.54,-7691543,-65.6219400523488
000063,中兴通讯,2019-09-30,9,增持,964779,30940193.79,43112,4.6776113281695
000401,冀东水泥,2019-09-30,9,增持,433484,6645309.72,433484,100
600674,川投能源,2019-09-30,9,减持,2127378,21231232.44,-1088700,-33.8517909080563
002007,华兰生物,2019-09-30,9,减持,122022,4185354.6,-138835,-53.2226468908252
600570,恒生电子,2019-09-30,9,增持,466233,34468605.69,322830,225.120813372105
600848,上海临港,2019-09-30,9,增持,181700,4760540,181700,100
601009,南京银行,2019-09-30,9,增持,1358160,11666674.4,1046060,335.168215315604
002142,宁波银行,2019-09-30,9,减持,4429700,111672737,-28024775,-86.3510347956638
603345,安井食品,2019-09-30,9,增持,4400208,210109932,1323607,43.0217307996715
000799,酒鬼酒,2019-09-30,8,增持,6034600,238668430,3601200,147.99046601463
002236,大华股份,2019-09-30,8,减持,11345150,195930740.5,-5101300,-31.0176360247956
603259,药明康德,2019-09-30,8,减持,19200,1664640,-36000,-65.2173913043478
603882,金域医学,2019-09-30,8,减持,18600,1041228,-188100,-91.0014513788099
002299,圣农发展,2019-09-30,8,增持,72478,1787307.48,32478,81.195
000799,酒鬼酒,2019-09-30,8,增持,6034600,238668430,3601200,147.99046601463
601169,北京银行,2019-09-30,8,减持,483600,3246552,-9300,-1.88679245283019
002304,洋河股份,2019-09-30,8,减持,91744,9541376,-5233061,-98.2770448870898
300003,乐普医疗,2019-09-30,8,减持,8894399,222893638.94,-3211672,-26.5294330423141
600886,国投电力,2019-09-30,8,减持,2530600,22800706,-2542080,-50.1131551763565
600009,上海机场,2019-09-30,7,减持,428700,34201686,-1318454,-75.4629528936774
600588,用友网络,2019-09-30,7,增持,1215336,37541729.04,916136,306.195187165775
601668,中国建筑,2019-09-30,7,减持,5165492,28048621.56,-86876394,-94.387889878745
601012,隆基股份,2019-09-30,7,减持,2562109,67204119.07,-6657700,-72.2108234563211
601233,桐昆股份,2019-09-30,7,增持,467800,5941060,453200,3104.1095890411
600919,江苏银行,2019-09-30,7,增持,640152100,4295420591,640152100,100
603288,海天味业,2019-09-30,7,减持,27733,16292289.03,-226286,-89.0823127403856
002078,太阳纸业,2019-09-30,7,增持,64390749,510618639.57,26025147,67.8345852620793
300142,沃森生物,2019-09-30,7,增持,525085,14172044.15,423485,416.81594488189
002065,东华软件,2019-09-30,7,增持,2517299,16966595.26,810941,47.524669500773
600383,金地集团,2019-09-30,7,增持,837500,9673125,243500,40.993265993266
300750,宁德时代,2019-09-30,7,增持,90400,6542250,69100,324.413145539906
002727,一心堂,2019-09-30,7,减持,5296917,118703909.97,-1176414,-18.1732403302102
600597,光明乳业,2019-09-30,7,减持,148200,1548690,-119500,-44.6395218528203
600837,海通证券,2019-09-30,7,减持,235200,3370510,-240800,-50.5882352941176
300724,捷佳伟创,2019-09-30,7,增持,1348700,43697880,1348700,100
600132,重庆啤酒,2019-09-30,7,增持,1917683,78682533.49,1914583,61760.7419354839
603369,今世缘,2019-09-30,7,增持,2093400,67658688,836800,66.5923921693458
002918,蒙娜丽莎,2019-09-30,7,增持,2844362,39735737.14,2069960,267.297863383617
603939,益丰药房,2019-09-30,7,增持,117300,9245586,112300,2246
002422,科伦药业,2019-09-30,6,增持,8002542,206945736.12,6897500,624.184420139687
600873,梅花生物,2019-09-30,6,增持,19192895,82913306.4,6414494,50.197939476152
000402,金融街,2019-09-30,6,增持,5601433,43131034.1,4585033,451.105175127902
601186,中国铁建,2019-09-30,6,增持,1662976,15731752.96,892781,115.91622900694
600050,中国联通,2019-09-30,6,增持,7888000,47406880,7856800,25182.0512820513
000623,吉林敖东,2019-09-30,6,增持,43687882,1069384439.2,114300,0.262314904475836
002048,宁波华翔,2019-09-30,6,减持,89200,1331756,-110900,-55.4222888555722
603160,汇顶科技,2019-09-30,6,增持,18500,3823920,17200,1323.07692307692
300207,欣旺达,2019-09-30,6,增持,375700,5691855,254000,208.709942481512
601607,上海医药,2019-09-30,6,减持,98482,2527652.4,-954724,-90.6493126700759
600867,通化东宝,2019-09-30,6,增持,525200,9191000,525200,100
601319,中国人保,2019-09-30,6,增持,3447104,29645094.4,127400,3.83769155322282
600153,建发股份,2019-09-30,6,增持,201700,1754790,96700,92.0952380952381
002138,顺络电子,2019-09-30,6,增持,8304098,180281967.58,8142598,5041.85634674923
002271,东方雨虹,2019-09-30,6,减持,13262834,278784770.68,-13000620,-49.5008006182279
002821,凯莱英,2019-09-30,6,增持,140300,16534355,130800,1376.84210526316
002223,鱼跃医疗,2019-09-30,6,增持,12170366,262879905.6,7632207,168.178483830117
603605,珀莱雅,2019-09-30,6,减持,969098,78661684.66,-109799,-10.1769677735687
600390,五矿资本,2019-09-30,6,增持,118368601,855804985.23,19846434,20.1441306097134
300298,三诺生物,2019-09-30,6,持平,11134744,151402518.4,0,0
300327,中颖电子,2019-09-30,6,增持,3934146,105356429.88,3934146,100
603338,浙江鼎力,2019-09-30,6,减持,1926315,115964163,-349500,-15.3571357953085
300450,先导智能,2019-09-30,5,减持,1696001,57155233.7,-539698,-24.1400116920927
002202,金风科技,2019-09-30,5,增持,147700,1849204,124900,547.80701754386
000338,潍柴动力,2019-09-30,5,增持,4718813,52945081.86,4687613,15024.4006410256
600176,中国巨石,2019-09-30,5,减持,1536700,12478004,-60783794,-97.5341979798812
001979,招商蛇口,2019-09-30,5,增持,1001200,19012788,1001200,100
000566,海南海药,2019-09-30,5,增持,5924229,36611735.22,35000,0.594305298707182
300408,三环集团,2019-09-30,5,减持,10667502,213350040,-494386,-4.42923276062258
600584,长电科技,2019-09-30,5,增持,718601,12367123.21,718601,100
300134,大富科技,2019-09-30,5,增持,4382787,78320403.69,431800,10.9289147243461
300136,信维通信,2019-09-30,5,减持,182100,6519180,-104100,-36.3731656184486
000157,中联重科,2019-09-30,5,减持,385000,2194500,-161737,-29.5822305788706
002081,金螳螂,2019-09-30,5,增持,634300,5753101,630800,18022.8571428571
