股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%
601318,中国平安,2019-03-31,131,增持,29619818,2286293947.8,10818415,57.5404665279501
600887,伊利股份,2019-03-31,71,减持,76508147,2227949773.17,-22131863,-22.4370040108471
000858,五粮液,2019-03-31,62,增持,23412955,1206546381.26,3585708,18.0847497385794
600519,贵州茅台,2019-03-31,60,增持,752430,642738493.7,357988,90.7580835712221
000651,格力电器,2019-03-31,46,减持,4450293,117004957.53,-800628,-15.2473823163594
601166,兴业银行,2019-03-31,44,减持,15341544,282916784.48,-1176042,-7.11993871259396
600048,保利地产,2019-03-31,44,减持,19644707,280680467.68,-3373900,-14.6572727011674
000002,万科A,2019-03-31,43,减持,470608199,14457083873.28,-342763,-0.0727810382941738
601288,农业银行,2019-03-31,37,增持,34019922,126894309.06,4767057,16.2960345935347
002531,天顺风能,2019-03-31,33,增持,16900124,112723827.08,8149039,93.120327365121
002127,南极电商,2019-03-31,33,增持,57019142,652869175.9,26156840,84.7533667449693
300498,温氏股份,2019-03-31,32,增持,3135328,128049476.8,2022063,181.633573318123
600276,恒瑞医药,2019-03-31,32,增持,3526501,230703695.42,337564,10.5854709578772
600036,招商银行,2019-03-31,31,减持,5907515,200382908.8,-430261,-6.78883254946215
002415,海康威视,2019-03-31,31,增持,115859072,4063177655.04,3916476,3.49864675284107
600031,三一重工,2019-03-31,30,增持,12632411,161442212.58,10237170,427.396241129807
601155,新城控股,2019-03-31,28,增持,33439015,1509771497.25,33410015,115206.948275862
300059,东方财富,2019-03-31,27,增持,25749038,499016356.44,11402784,79.4826579816585
601398,工商银行,2019-03-31,27,减持,14360366,81491138.62,-9602073,-40.0713508336944
002179,中航光电,2019-03-31,27,增持,6251430,254058115.2,3640108,139.397132946454
600690,青岛海尔,2019-03-31,26,减持,49622248,832249263.28,-10201517,-17.0526161300614
600426,华鲁恒升,2019-03-31,26,增持,55957567,855591194.43,55937867,283948.563451777
601688,华泰证券,2019-03-31,25,减持,248476269,5222829049.58,-2203604,-0.879051027762408
600030,中信证券,2019-03-31,25,减持,5290852,131479012.56,-750350,-12.4205414750243
601933,永辉超市,2019-03-31,24,减持,3518000,30395520,-421821,-10.7066031680119
000568,泸州老窖,2019-03-31,23,增持,10335269,688122210.02,1428769,16.0418682984337
600352,浙江龙盛,2019-03-31,23,减持,40113270,689948244,-5621148,-12.2908484371661
601336,新华保险,2019-03-31,23,增持,2171594,116592881.86,1563100,256.880100707649
002223,鱼跃医疗,2019-03-31,23,增持,4686359,119040901.16,4570176,3933.60130139521
600803,新奥股份,2019-03-31,23,减持,18011527,213250849.14,-1594826,-8.13423077713637
601888,中国国旅,2019-03-31,22,减持,1092250,76544880,-970915,-47.0594935451115
603899,晨光文具,2019-03-31,22,增持,3075700,113800900,2870300,1397.41966893866
300271,华宇软件,2019-03-31,22,增持,18929997,402641036.19,2025295,11.9806607652711
000961,中南建设,2019-03-31,21,减持,10665023,101317718.5,-36652200,-77.4605897729882
000063,中兴通讯,2019-03-31,21,增持,2849192,83196406.4,2034818,249.862839432497
000895,双汇发展,2019-03-31,20,增持,2153775,55700933.75,1098101,104.018949031614
600176,中国巨石,2019-03-31,20,减持,63534850,680250895,-47842590,-42.9553686994422
300144,宋城演艺,2019-03-31,20,增持,12701720,295278464,6432450,102.602854877841
002690,美亚光电,2019-03-31,20,减持,18402999,511235312.22,-1121322,-5.74320612737314
002672,东江环保,2019-03-31,20,增持,26675370,332375110.2,10062360,60.5691563419272
000333,美的集团,2019-03-31,19,减持,526856,25673692.88,-2090285,-79.8690250162295
600585,海螺水泥,2019-03-31,19,增持,1369332,53388315.76,792118,137.23125218723
001979,招商蛇口,2019-03-31,19,增持,1344000,30965760,724700,117.019215243016
002475,立讯精密,2019-03-31,19,增持,6598051,158573664.8,5703950,637.953654005532
000860,顺鑫农业,2019-03-31,19,增持,7819202,474078217.26,7738502,9589.22180916977
600383,金地集团,2019-03-31,19,增持,1038700,14282125,273300,35.7068199634178
