股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%
603309,维力医疗,2015-09-30,10,增持,14943944,510485127.04,14943944,100
603568,伟明环保,2015-09-30,10,增持,25383460,1349892402.8,25177760,12240.0388915897
600871,石化油服,2015-09-30,9,增持,135406648,1301257887.28,135406648,100
603268,松发股份,2015-09-30,8,增持,9383405,379652566.3,8608115,1110.30904564744
600750,江中药业,2015-09-30,7,增持,46387543,2128260472.84,46387543,100
603198,迎驾贡酒,2015-09-30,7,增持,18424931,594572523.37,18424931,100
000757,浩物股份,2015-09-30,6,增持,26578590,227246944.5,17713760,199.820639538491
000670,*ST盈方,2015-09-30,6,增持,57672136,543848242.48,40857141,242.980393392921
600365,ST通葡,2015-09-30,6,增持,23712473,638814022.62,357811,1.5320752661717
002680,长生退,2015-09-30,6,增持,11409487,433560506,11409487,100
603158,腾龙股份,2015-09-30,6,增持,4727174,220948112.76,4294174,991.72609699769
603686,龙马环卫,2015-09-30,6,增持,13777032,545432696.88,6914294,100.751245348431
002512,达华智能,2015-09-30,5,增持,27675792,418457975.04,19267954,229.166570526216
000663,*ST永林,2015-09-30,5,增持,22261977,336601092.24,16412461,280.578102530192
002622,融钰集团,2015-09-30,5,减持,15485153,391464667.84,-791030,-4.86004611769234
600146,*ST环球,2015-09-30,5,增持,17010593,452141561.94,3760426,28.3802158870903
002639,雪人股份,2015-09-30,5,减持,7541953,195487421.76,-1188084,-13.6091519428841
000806,*ST银河,2015-09-30,5,持平,34933721,939717094.9,0,0
300349,金卡智能,2015-09-30,5,增持,8177527,250150550.93,8177527,100
600960,渤海汽车,2015-09-30,5,增持,31155641,280089212.59,7570190,32.0968634434847
002259,*ST升达,2015-09-30,5,增持,45661682,322371474.92,3178742,7.48239646314497
002759,天际股份,2015-09-30,5,减持,1912226,57347657.74,-146524,-7.11713418336369
603718,海利生物,2015-09-30,5,增持,12498753,450330070.59,11757153,1585.37661812298
002110,三钢闽光,2015-09-30,4,增持,11389822,61732835.24,4535646,66.1734685540611
300432,富临精工,2015-09-30,4,增持,6834070,126293613.6,5317019,350.483866396054
000691,亚太实业,2015-09-30,4,增持,30412369,193118543.15,8069892,36.1190569872803
000504,ST生物,2015-09-30,4,增持,87071671,1228581277.81,5468515,6.70135233495136
000760,*ST斯太,2015-09-30,4,减持,12106334,91039631.68,-9106779,-42.9299509223375
600487,亨通光电,2015-09-30,4,增持,77963438,672824469.94,51416923,193.686150517309
002286,保龄宝,2015-09-30,4,减持,15323692,222193534,-1165741,-7.06962452862994
002418,*ST康盛,2015-09-30,4,增持,17805227,512078328.52,803260,4.72451216968013
000989,九芝堂,2015-09-30,4,增持,31183016,709725444.16,31183016,100
000950,重药控股,2015-09-30,4,增持,15595300,88113445,4400000,39.3022071762257
000040,东旭蓝天,2015-09-30,4,增持,9825610,95013648.7,416105,4.42217736214604
002235,安妮股份,2015-09-30,4,增持,7212852,209893993.2,1521137,26.7254597252322
000632,三木集团,2015-09-30,4,增持,16079080,116251748.4,12621506,365.039359967422
603678,火炬电子,2015-09-30,4,增持,8548700,631065034,3461583,68.0460661706817
603025,大豪科技,2015-09-30,4,增持,8597211,310273344.99,8597211,100
002002,鸿达兴业,2015-09-30,3,持平,27783002,1091871978.6,0,0
600589,广东榕泰,2015-09-30,3,减持,9919600,64080616,-3455000,-25.8325482631256
000727,*ST东科,2015-09-30,3,增持,13513941,101624836.32,3306255,32.3898579952401
600971,恒源煤电,2015-09-30,3,增持,44245938,276094653.12,23720088,115.562025445962
002496,*ST辉丰,2015-09-30,3,增持,5530215,78805563.75,1925586,53.419811026322
002389,航天彩虹,2015-09-30,3,增持,9820400,134932296,9820400,100
000677,恒天海龙,2015-09-30,3,减持,33645568,188415180.8,-5778200,-14.6566406336401
000878,云南铜业,2015-09-30,3,增持,22995858,227888952.78,3555251,18.2877571672531
600212,*ST江泉,2015-09-30,3,持平,21383105,154813680.2,0,0
002359,*ST北讯,2015-09-30,3,增持,36097433,641090410.08,33830433,1492.29964711072
600892,*ST大晟,2015-09-30,3,增持,5280580,187196561,1790746,51.3132143248074
300108,吉药控股,2015-09-30,3,增持,5429187,54563329.35,1517164,38.7820828251777
000668,荣丰控股,2015-09-30,3,持平,6373631,221738622.49,0,0
000717,韶钢松山,2015-09-30,3,增持,63666862,357807764.44,63666862,100
002722,金轮股份,2015-09-30,3,增持,5986823,113929241.69,5986823,100
002209,达意隆,2015-09-30,3,增持,18998275,267875677.5,18998275,100
600309,万华化学,2015-09-30,3,增持,64273902,1025168736.9,47869537,291.809753074868
600238,ST椰岛,2015-09-30,3,增持,38533077,390725400.78,5635216,17.129429782684
002636,金安国纪,2015-09-30,3,持平,4361131,96380995.1,0,0
600708,光明地产,2015-09-30,3,增持,8127600,105252420,6450295,384.563034153001
600278,东方创业,2015-09-30,3,增持,6145100,89042499,3645100,145.804
000428,华天酒店,2015-09-30,3,增持,19104672,137553638.4,19104672,100
600053,九鼎投资,2015-09-30,3,持平,3113140,40906659.6,0,0
002384,东山精密,2015-09-30,3,减持,31161788,692414929.36,-842532,-2.63255710479085
002392,北京利尔,2015-09-30,3,增持,17556715,126759482.3,17556715,100
002314,南山控股,2015-09-30,3,增持,16172522,117735960.16,6923878,74.8637097503158
000927,中国铁物,2015-09-30,3,增持,57699998,372164987.1,1291629,2.28978256754773
600353,旭光电子,2015-09-30,3,增持,17963735,113351167.85,15120435,531.791756058101
002213,大为股份,2015-09-30,3,增持,12010000,143639600,3350079,38.6848679104578
600638,新黄浦,2015-09-30,3,持平,39713566,476959927.66,0,0
600766,园城黄金,2015-09-30,3,增持,18472589,222040519.78,12104789,190.093737240491
600306,*ST商城,2015-09-30,3,减持,6070900,75279160,-13225723,-68.5390547351213
002252,上海莱士,2015-09-30,3,增持,35342546,1466715659,3612227,11.3841496519465
600995,文山电力,2015-09-30,3,增持,9721196,89629427.12,276596,2.92861529339517
600782,新钢股份,2015-09-30,3,增持,59136141,322291968.45,42335735,251.992332804338
600847,万里股份,2015-09-30,3,减持,5370317,177703789.53,-5860988,-52.1843899707113
000587,*ST金洲,2015-09-30,3,增持,29786364,583217007.12,11532164,63.1754007296951
600532,未来股份,2015-09-30,3,减持,14870700,216666099,-2549300,-14.634328358209
002667,鞍重股份,2015-09-30,3,持平,3487670,82971669.3,0,0
600641,万业企业,2015-09-30,3,持平,11336601,125609539.08,0,0
000836,富通信息,2015-09-30,3,减持,18323452,312414856.6,-7415715,-28.8110139694886
002082,万邦德,2015-09-30,3,增持,17916300,182925423,10459674,140.273549994327
600277,亿利洁能,2015-09-30,3,持平,28389215,413914754.7,0,0
600110,诺德股份,2015-09-30,3,持平,49503250,679679622.5,0,0
002509,天茂退,2015-09-30,3,增持,15481846,215507296.32,11771702,317.284234789809
600506,香梨股份,2015-09-30,3,增持,15036436,226147997.44,5674847,60.6184163820907
002473,ST圣莱,2015-09-30,3,增持,15756577,519967041,2660839,20.3183585377166
300031,宝通科技,2015-09-30,3,持平,12381428,282544186.96,0,0
600645,中源协和,2015-09-30,3,持平,18981774,1506013949.16,0,0
600419,天润乳业,2015-09-30,3,减持,3432168,95174018.64,-1105064,-24.3554660638909
002424,贵州百灵,2015-09-30,3,增持,13149842,717323881.1,253947,1.96920803092767
300317,珈伟新能,2015-09-30,3,增持,9328033,253909058.26,1332686,16.668269682354
603988,中电电机,2015-09-30,3,减持,1301100,43066410,-98600,-7.04436664999643
603009,北特科技,2015-09-30,3,增持,5602873,145338525.62,2926101,109.314540050479
300423,昇辉科技,2015-09-30,3,增持,1701900,49082796,726300,74.4464944649446
300421,力星股份,2015-09-30,3,增持,2110948,49776153.84,1382948,189.965384615385
603026,石大胜华,2015-09-30,3,增持,4263800,79946250,3772100,767.154769168192
000960,锡业股份,2015-09-30,2,增持,8151738,82984692.84,8151738,100
603519,立霸股份,2015-09-30,2,减持,943900,32960988,-846580,-47.2822930163978
603601,再升科技,2015-09-30,2,增持,1060220,22508470.6,433220,69.0940988835726
600149,ST坊展,2015-09-30,2,减持,6870625,110136118.75,-3392049,-33.0522922193573
000613,大东海A,2015-09-30,2,增持,10817700,101578203,10817700,100
002333,ST罗普,2015-09-30,2,增持,3855137,71666996.83,1691041,78.140757156799
600698,ST天雁,2015-09-30,2,减持,4004687,23347325.21,-4921573,-55.1358911795086
300309,吉艾科技,2015-09-30,2,增持,3954585,70075246.2,3954585,100
002743,富煌钢构,2015-09-30,2,增持,2649679,70031015.97,2649679,100
600280,*ST中商,2015-09-30,2,增持,9910920,129833052,97537,0.99391820333518
600258,首旅酒店,2015-09-30,2,持平,1833770,34016433.5,0,0
002261,拓维信息,2015-09-30,2,增持,4146637,111544535.3,4146637,100
300135,宝利国际,2015-09-30,2,持平,41400000,523710000,0,0
000410,*ST沈机,2015-09-30,2,增持,3419200,59904384,3419200,100
000981,*ST银亿,2015-09-30,2,增持,5850601,132808642.7,4784015,448.535326734084
000887,中鼎股份,2015-09-30,2,持平,17368487,429870053.25,0,0
002175,ST东网,2015-09-30,2,减持,13714410,468895677.9,-3520930,-20.4285497123933
600318,新力金融,2015-09-30,2,增持,1738690,35886561.6,565290,48.175387762059
600186,莲花健康,2015-09-30,2,持平,12417883,129891056.18,0,0
000850,华茂股份,2015-09-30,2,持平,5912851,64627461.43,0,0
002574,明牌珠宝,2015-09-30,2,持平,6058920,138749268,0,0
002241,歌尔股份,2015-09-30,2,增持,32115136,759522966.4,7756423,31.8424992322049
000710,贝瑞基因,2015-09-30,2,增持,1871910,43615503,1871910,100
600556,天下秀,2015-09-30,2,增持,10919586,109741839.3,3264700,42.6485776535405
000502,绿景控股,2015-09-30,2,增持,5240866,92606102.22,5240866,100
002260,*ST德奥,2015-09-30,2,增持,9140000,189655000,4863300,113.716183038324
000702,正虹科技,2015-09-30,2,增持,9642224,102207574.4,7975224,478.41775644871
000545,金浦钛业,2015-09-30,2,增持,13161330,102395147.4,5182044,64.9437054894385
600072,中船科技,2015-09-30,2,减持,3219879,83684655.21,-13079352,-80.2452091144668
600870,ST厦华,2015-09-30,2,减持,5409691,30618851.06,-2301300,-29.8444129943868
600838,上海九百,2015-09-30,2,增持,5156140,70432872.4,5156140,100
002453,华软科技,2015-09-30,2,减持,10683601,61858049.79,-15636999,-59.4097361002409
002701,奥瑞金,2015-09-30,2,减持,16464665,349874131.25,-10981409,-40.0108554688004
600713,南京医药,2015-09-30,2,增持,17298710,133027079.9,17298710,100
002736,国信证券,2015-09-30,2,增持,14199721,210013873.59,14199721,100
600266,城建发展,2015-09-30,2,增持,74641026,865089491.34,74641026,100
600331,宏达股份,2015-09-30,2,增持,46892426,269631449.5,42401416,944.13987054137
002254,泰和新材,2015-09-30,2,增持,10720000,137752000,1720000,19.1111111111111
600255,*ST鑫科,2015-09-30,2,减持,20647700,87752725,-193352,-0.927745873864717
600262,北方股份,2015-09-30,2,增持,5647361,207258148.7,4132471,272.79016958327
002450,*ST康得,2015-09-30,2,持平,89937732,2724213902.28,0,0
600667,太极实业,2015-09-30,2,增持,18043163,96350490.42,10864814,151.355332542344
300237,美晨生态,2015-09-30,2,增持,24204250,215901910,17456050,258.677128715806
600196,复星医药,2015-09-30,2,增持,33332320,730644454.4,10137205,43.7040514780806
000622,恒立实业,2015-09-30,2,持平,16410706,185769191.92,0,0
600821,*ST劝业,2015-09-30,2,增持,5407500,36662850,5407500,100
600247,*ST成城,2015-09-30,2,持平,25800000,325596000,0,0
000868,ST安凯,2015-09-30,2,增持,18415691,130751406.1,15143391,462.775142865874
300269,联建光电,2015-09-30,2,持平,6919416,199348374.96,0,0
000798,中水渔业,2015-09-30,2,增持,3361438,33647994.38,3361438,100
000748,长城信息,2015-09-30,2,持平,14841205,517661230.4,0,0
000818,航锦科技,2015-09-30,2,减持,12550415,79820639.4,-22056230,-63.7340892189925
600356,恒丰纸业,2015-09-30,2,持平,5072394,44129827.8,0,0
600634,*ST富控,2015-09-30,2,持平,4078396,152450442.48,0,0
600671,*ST目药,2015-09-30,2,增持,6413975,158874160.75,3514636,121.221975077768
601211,国泰君安,2015-09-30,2,增持,38323424,712815686.4,38323424,100
002080,中材科技,2015-09-30,2,增持,4839875,77341202.5,2316000,91.7636570749344
002088,鲁阳节能,2015-09-30,2,增持,4167798,46262557.8,1063927,34.2774232563145
601100,恒立液压,2015-09-30,2,增持,9062740,136484864.4,6882740,315.722018348624
002137,麦达数字,2015-09-30,2,持平,3625900,41697850,0,0
002501,*ST利源,2015-09-30,2,增持,4112400,40589388,4112400,100
300301,长方集团,2015-09-30,2,减持,2134800,13598676,-1911653,-47.2426839011846
002164,宁波东力,2015-09-30,2,增持,4246900,27519912,3211800,310.288860979615
300080,易成新能,2015-09-30,2,增持,7433600,55082976,6132199,471.19980697725
002507,涪陵榨菜,2015-09-30,2,增持,6611100,107430375,4390403,197.70382902305
600778,友好集团,2015-09-30,2,持平,3520821,56368344.21,0,0
000563,陕国投A,2015-09-30,2,增持,10492880,85516972,5279500,101.268275092167
000906,浙商中拓,2015-09-30,2,增持,4326467,49581311.82,1121967,35.0122327976283
600291,西水股份,2015-09-30,2,增持,15380336,330369617.28,13581064,754.808833795002
600687,退市刚泰,2015-09-30,2,增持,16192695,216496332.15,16192695,100
002560,通达股份,2015-09-30,2,增持,3157700,64448657,926818,41.5449136260905
600191,华资实业,2015-09-30,2,增持,15892899,238075627.02,9832899,162.259059405941
002565,顺灏股份,2015-09-30,2,减持,7552400,49619268,-247600,-3.17435897435897
002468,申通快递,2015-09-30,2,增持,2248100,30821451,747351,49.7985339320566
601388,怡球资源,2015-09-30,2,增持,21230000,495295900,7230000,51.6428571428571
000633,合金投资,2015-09-30,2,增持,30119353,387636073.11,23731127,371.482270664814
002021,ST中捷,2015-09-30,2,增持,3494747,27259026.6,1399597,66.8017564374866
002682,龙洲股份,2015-09-30,2,减持,3283019,36605661.85,-1195042,-26.6865949347273
002239,奥特佳,2015-09-30,2,持平,19381482,355262565.06,0,0
000426,兴业矿业,2015-09-30,2,增持,38143882,185760705.34,23470241,159.948311397287
000755,山西路桥,2015-09-30,2,增持,7951099,61302973.29,4540379,133.12083665619
600676,交运股份,2015-09-30,2,增持,6503652,83506891.68,6503652,100
300117,嘉寓股份,2015-09-30,2,增持,5332400,40899508,2622900,96.8038383465584
600055,万东医疗,2015-09-30,2,增持,4374625,118508591.25,4374625,100
600478,科力远,2015-09-30,2,增持,37695612,430106932.92,7894251,26.4895653591123
300040,九洲集团,2015-09-30,2,增持,5197600,42464392,5197600,100
