股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%
000651,格力电器,2014-12-31,8,减持,416994989,15478853991.68,-8304007,-1.95251036990456
600009,上海机场,2014-12-31,6,减持,150057165,2944121577.3,-56133743,-27.2241601458004
002032,苏泊尔,2014-12-31,6,增持,37521623,638618023.46,9905901,35.8705124566361
600104,上汽集团,2014-12-31,5,减持,201307677,4322075825.19,-71550224,-26.2225223230754
600519,贵州茅台,2014-12-31,5,减持,43373242,8224434148.04,-3573260,-7.61134450443187
600585,海螺水泥,2014-12-31,4,减持,138133256,3049982292.48,-160464768,-53.7393938012128
600007,中国国贸,2014-12-31,4,持平,38385458,586913652.82,0,0
601888,中国中免,2014-12-31,3,减持,28389056,1260474086.4,-16873832,-37.2796185696326
601390,中国中铁,2014-12-31,3,增持,92576624,860962603.2,67576534,270.305162901414
000002,万科A,2014-12-31,3,减持,336849550,4682208745,-29793893,-8.12612186821516
600183,生益科技,2014-12-31,3,增持,49894635,398159187.3,11833298,31.0900744238175
000822,山东海化,2014-12-31,3,增持,9387641,47313710.64,788215,9.16590246837405
002311,海大集团,2014-12-31,3,增持,23131982,284060738.96,13112479,130.869555106675
000550,江铃汽车,2014-12-31,3,增持,19756839,598632221.7,1036811,5.53851201504613
600487,亨通光电,2014-12-31,3,增持,11138279,211070387.05,3517116,46.14933442573
002563,森马服饰,2014-12-31,3,增持,4734245,157413646.25,270914,6.0697716570875
002242,九阳股份,2014-12-31,3,减持,7676781,84981965.67,-55282,-0.71497089457238
600897,厦门空港,2014-12-31,3,减持,5748769,137912968.31,-805278,-12.2867291003559
601628,中国人寿,2014-12-31,2,减持,25354172,865844973.8,-55094261,-68.4839454859239
600066,宇通客车,2014-12-31,2,增持,26818068,598847458.44,10823099,67.6656453663649
600761,安徽合力,2014-12-31,2,增持,9633529,150764728.85,871237,9.94302632233667
000333,美的集团,2014-12-31,2,增持,71793393,1970010703.92,30747817,74.9114033629349
600028,中国石化,2014-12-31,2,减持,125512757,814577792.93,-175767378,-58.3401816385936
000726,鲁泰A,2014-12-31,2,减持,13723123,164540244.77,-5159448,-27.3238638954409
