股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%
002400,省广集团,2015-12-31,5,增持,90662233,2280155159.95,31959793,54.443721589767
600160,巨化股份,2015-12-31,4,增持,163077238,3827422775.86,31393721,23.8402813922414
600158,中体产业,2015-12-31,4,增持,48344782,1260831914.56,18934303,64.3794444830361
000758,中色股份,2015-12-31,4,增持,41052276,610857866.88,26052276,173.68184
000988,华工科技,2015-12-31,4,增持,31269046,662278394.28,17109122,120.827781279052
600340,华夏幸福,2015-12-31,4,增持,58453434,1795689492.48,19081619,48.4651748973219
000069,华侨城A,2015-12-31,4,减持,294456942,2591221089.6,-45840208,-13.4706411734568
001979,招商蛇口,2015-12-31,4,新进,139779163,2915793340.18,139779163,1.88844886
600885,宏发股份,2015-12-31,4,减持,23034630,688505090.7,-3326800,-12.6199527112148
300303,聚飞光电,2015-12-31,4,增持,29226671,338444850.18,26726671,1069.06684
000958,东方能源,2015-12-31,4,减持,48301015,1242302105.8,-384794,-0.790361725323287
002781,奇信股份,2015-12-31,4,新进,86400,3228768,86400,0.0384
300133,华策影视,2015-12-31,3,增持,40798897,1215399141.63,12125150,42.2865905875504
000911,南宁糖业,2015-12-31,3,增持,9564157,160199629.75,1463400,18.0649783717744
002466,天齐锂业,2015-12-31,3,增持,8902371,1253008718.25,2674960,42.9546082633698
601088,中国神华,2015-12-31,3,增持,40770491,610334250.27,8890491,27.8873619824341
601021,春秋航空,2015-12-31,3,增持,28130000,1715930000,11008849,64.2997015796426
600580,卧龙电驱,2015-12-31,3,减持,28057798,432651245.16,-19342311,-40.8064694534774
000858,五粮液,2015-12-31,3,增持,70021741,1910193094.48,4750046,7.27734433738851
600559,老白干酒,2015-12-31,3,减持,4952425,297987412.25,-5061593,-50.5450759125857
600114,东睦股份,2015-12-31,3,减持,26049818,420965058.88,-499300,-1.8806651128674
000060,中金岭南,2015-12-31,3,增持,62915770,882708253.1,43801252,229.151747378616
601098,中南传媒,2015-12-31,3,减持,90891836,2172314880.4,-200119,-0.21968899448914
300203,聚光科技,2015-12-31,3,减持,25926620,889023799.8,-24510805,-48.5964638361296
