股票代码,股票简称,时间,持有券商家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
601318,中国平安,2017-06-30,128,增持,50848781,0.27816255,47801314,1568.55887200747
600036,招商银行,2017-06-30,98,增持,29903303,0.11857052,12094513,67.9131653526152
000333,美的集团,2017-06-30,79,增持,34460695,0.52856768,2423900,7.56598779621994
002271,东方雨虹,2017-06-30,73,增持,31159597,3.53008512,2131975,7.34464228588894
000651,格力电器,2017-06-30,60,减持,10856232,0.18046407,-2294463,-17.4474657042841
600887,伊利股份,2017-06-30,48,增持,91226680,1.50068565,22569921,32.8735601982028
600004,白云机场,2017-06-30,48,增持,30230509,2.11829139,29090864,2552.62507184255
601398,工商银行,2017-06-30,45,增持,268160169,0.07524003,107431847,66.8406449237988
600519,贵州茅台,2017-06-30,44,减持,462151,0.03678965,-127669,-21.6454172459394
600048,保利地产,2017-06-30,43,增持,22387535,0.18878989,5810071,35.048008549438
600104,上汽集团,2017-06-30,39,减持,3548559,0.03037249,-2390866,-40.2541660177542
601166,兴业银行,2017-06-30,38,减持,11115998,0.05350866,-7847818,-41.3831161407599
000858,五粮液,2017-06-30,37,减持,2807296,0.07395472,-1046347,-27.1521518729161
600066,宇通客车,2017-06-30,36,减持,50595858,2.28533182,-9027723,-15.1411955615346
002311,海大集团,2017-06-30,36,增持,20443962,1.29723449,5964348,41.1913466754017
600031,三一重工,2017-06-30,33,增持,146062310,1.90732759,12247226,9.15235086651367
002174,游族网络,2017-06-30,33,减持,17404959,2.0207425,-2893557,-14.2550174603897
002415,海康威视,2017-06-30,33,减持,11688062,0.12664675,-57777842,-83.1743901295807
601288,农业银行,2017-06-30,31,增持,28367235,0.00873391,18383900,184.145879107533
000826,启迪桑德,2017-06-30,31,减持,3051304,0.35717106,-1715577,-35.9895076046581
002589,瑞康医药,2017-06-30,31,增持,55534217,3.6906912,32178384,137.774507978371
600566,济川药业,2017-06-30,31,增持,12010448,1.48346,3783660,45.9919472824631
000063,中兴通讯,2017-06-30,29,增持,3239558,0.07731616,1165598,56.2015660861347
600585,海螺水泥,2017-06-30,28,减持,1015320,0.0191595,-306057,-23.1619742132639
600030,中信证券,2017-06-30,27,增持,9025595,0.07448758,6291445,230.106065870563
000002,万科A,2017-06-30,26,增持,460027871,4.16723923,2883581,0.630781366644654
300070,碧水源,2017-06-30,26,增持,2754680,0.08790542,2183424,382.214628817903
601012,隆基股份,2017-06-30,26,增持,29783341,1.49223299,1797001,6.42099324170292
000568,泸州老窖,2017-06-30,25,减持,11791101,0.84086859,-2685082,-18.5482733949965
002081,金螳螂,2017-06-30,25,增持,11419631,0.43202031,2914739,34.2713229045119
600703,三安光电,2017-06-30,24,减持,44874613,1.10029273,-52893877,-54.1011495626045
002241,歌尔股份,2017-06-30,24,增持,44678781,1.37680586,14722323,49.1457401272206
600060,海信电器,2017-06-30,24,增持,22893649,1.74963527,21745149,1893.35211144972
600176,中国巨石,2017-06-30,24,增持,7087242,0.24283109,2356222,49.803678699308
601933,永辉超市,2017-06-30,24,增持,15352310,0.16041347,9961110,184.766100311619
002236,大华股份,2017-06-30,23,减持,4331576,0.14939501,-19016913,-81.4481528119443
002179,中航光电,2017-06-30,23,增持,7640682,0.96593546,3281900,75.2939697374175
601939,建设银行,2017-06-30,23,增持,10678028,0.00427102,3885228,57.1962666352609
601668,中国建筑,2017-06-30,22,减持,114170727,0.38056908,-29394688,-20.4747696372417
002191,劲嘉股份,2017-06-30,22,减持,51794431,3.96573959,-5643686,-9.82568074089198
600068,葛洲坝,2017-06-30,22,减持,8445817,0.18341424,-1597883,-15.9093063313321
002152,广电运通,2017-06-30,21,增持,43659465,1.79751007,12339803,39.399540774099
002555,三七互娱,2017-06-30,21,增持,4301071,0.2063067,3900903,974.8163271426
600028,中国石化,2017-06-30,21,减持,88820195,0.07336194,-130142406,-59.435906134491
300144,宋城演艺,2017-06-30,21,减持,22184292,1.52720451,-1050159,-4.51983565266939
603799,华友钴业,2017-06-30,21,增持,7225676,0.68957348,399077,5.84591243751098
000961,中南建设,2017-06-30,20,持平,160081744,4.31511746,0,0
600518,康美药业,2017-06-30,19,增持,2545932,0.0514668,98669,4.03181023044928
000963,华东医药,2017-06-30,19,增持,529183,0.05443621,171338,47.8805069233886
601111,中国国航,2017-06-30,19,减持,4621022,0.03181466,-34492534,-88.1856254644809
600741,华域汽车,2017-06-30,18,减持,706917,0.02242242,-20713706,-96.6998298788975
000860,顺鑫农业,2017-06-30,18,增持,7942496,1.39197958,1350304,20.4833839791074
002572,索菲亚,2017-06-30,17,增持,5438519,0.58894998,2490571,84.4849027187725
601688,华泰证券,2017-06-30,17,减持,1986000,0.02772672,-9523000,-82.7439395255887
000538,云南白药,2017-06-30,17,增持,531007,0.05098976,124357,30.5808434771917
000591,太阳能,2017-06-30,17,增持,89886973,2.98916004,47963942,114.409528261447
