股票代码,股票简称,时间,持有券商家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
600519,贵州茅台,2019-09-30,129,减持,1529003,0.12171669,-143687,-8.59017510716271
601318,中国平安,2019-09-30,124,减持,23029528,0.12598036,-948593,-3.95607729229492
600887,伊利股份,2019-09-30,111,增持,63145901,1.03566684,9006201,16.6351143430791
000651,格力电器,2019-09-30,92,增持,9054202,0.15050879,4592779,102.944262402377
600276,恒瑞医药,2019-09-30,68,增持,4411398,0.0997419400000001,574541,14.9742614853772
601166,兴业银行,2019-09-30,65,增持,9548888,0.04596515,5909983,162.411027493161
600036,招商银行,2019-09-30,61,增持,10387321,0.04118709,3035044,41.2803271693926
000858,五粮液,2019-09-30,58,减持,24173511,0.1226158,-6810358,-21.9803343475277
600048,保利地产,2019-09-30,54,增持,20791692,0.1742647,3996600,23.7962376151318
600030,中信证券,2019-09-30,50,增持,9622528,0.07941402,5096788,112.617781843411
000001,平安银行,2019-09-30,50,增持,35779854,0.18437601,13713063,62.1434398866605
000333,美的集团,2019-09-30,44,减持,15475706,0.22302811,-4637774,-23.0580386884816
000895,双汇发展,2019-09-30,44,增持,18054624,0.54393159,11779714,187.727218398352
601398,工商银行,2019-09-30,43,增持,70094800,0.01966709,12543717,21.7957966142879
601328,交通银行,2019-09-30,37,增持,16275723,0.02191639,7858123,93.3534855540772
600741,华域汽车,2019-09-30,34,增持,6190929,0.19636761,4194527,210.104327685506
000002,万科A,2019-09-30,32,减持,461981784,4.08755917,-5819964,-1.24410907502637
000661,长春高新,2019-09-30,32,减持,301140,0.17702427,-46899,-13.4752139846397
603899,晨光文具,2019-09-30,31,减持,2056705,0.22355488,-521899,-20.2395947574734
601601,中国太保,2019-09-30,30,增持,1448774,0.01598735,1385000,2171.73142660018
601933,永辉超市,2019-09-30,30,减持,128307946,1.34066615,-705290,-0.546680342162722
600352,浙江龙盛,2019-09-30,29,增持,44591711,1.37064746,9576171,27.3483459058464
600016,民生银行,2019-09-30,29,增持,9634844,0.02200618,8914560,1237.6451510793
601336,新华保险,2019-09-30,29,增持,851580,0.02729821,112880,15.2808988764045
600803,新奥股份,2019-09-30,29,增持,28455855,2.31469647,3772153,15.2819581114697
600104,上汽集团,2019-09-30,28,增持,3447688,0.02950912,2796410,429.37271027119
002415,海康威视,2019-09-30,28,增持,104226357,1.11531553,9121654,9.59117027051754
600000,浦发银行,2019-09-30,26,增持,3334671,0.01136091,2856871,597.921933863541
601888,中国国旅,2019-09-30,26,减持,913329,0.04677802,-784625,-46.2100268911879
000963,华东医药,2019-09-30,25,增持,10464782,0.59805264,1102952,11.7813718044442
600201,生物股份,2019-09-30,23,增持,3060020,0.27170222,2879820,1598.1243063263
300122,智飞生物,2019-09-30,21,增持,1422783,0.08892394,1128483,383.446483180428
002475,立讯精密,2019-09-30,21,增持,6964662,0.13020491,1030149,17.3586105549015
300144,宋城演艺,2019-09-30,21,减持,7021380,0.48336378,-5079823,-41.977834765684
000568,泸州老窖,2019-09-30,20,减持,4959823,0.33861168,-3374809,-40.4913978205636
601988,中国银行,2019-09-30,20,增持,6816500,0.00231547,6687900,5200.54432348367
002372,伟星新材,2019-09-30,20,减持,14654641,0.93156952,-1769489,-10.7737152591949
300529,健帆生物,2019-09-30,20,减持,1950554,0.46567112,-625134,-24.2705638260535
002583,海能达,2019-09-30,20,增持,29540596,1.60789606,1566500,5.59982349384945
600426,华鲁恒升,2019-09-30,19,减持,44171893,2.71549676,-15883402,-26.4479626650739
300498,温氏股份,2019-09-30,19,增持,871720,0.01640999,220220,33.8019953952418
601288,农业银行,2019-09-30,18,增持,52651721,0.01504408,33029736,168.330247933632
600583,海油工程,2019-09-30,18,增持,7751307,0.17531521,3981711,105.626995571939
300059,东方财富,2019-09-30,17,增持,10807506,0.16093114,3750509,53.1459627940893
601021,春秋航空,2019-09-30,17,增持,22054987,2.40579901,9819514,80.2544699334468
600196,复星医药,2019-09-30,17,减持,1229655,0.04797908,-12326326,-90.9290592838689
300369,绿盟科技,2019-09-30,17,减持,27949869,3.49028757,-3416134,-10.89119962145
600600,青岛啤酒,2019-09-30,17,增持,1532000,0.11339893,772889,101.815017830067
002690,美亚光电,2019-09-30,17,减持,19077466,2.82211035,-541620,-2.76067906527348
600315,上海家化,2019-09-30,17,减持,15291125,2.27801266,-227619,-1.4667359678077
300369,绿盟科技,2019-09-30,17,减持,27949869,3.49028757,-3416134,-10.89119962145
300015,爱尔眼科,2019-09-30,16,减持,1655952,0.05345554,-133163,-7.44295363908972
600585,海螺水泥,2019-09-30,15,减持,435771,0.00822319,-197099,-31.1436787965933
600066,宇通客车,2019-09-30,15,减持,2044418,0.09234298,-11400333,-84.7939318474548
601818,光大银行,2019-09-30,15,减持,3145100,0.00599188,-352400,-10.0757684060043
300357,我武生物,2019-09-30,15,增持,960201,0.18339006,703913,274.657026470221
600258,首旅酒店,2019-09-30,14,减持,1108357,0.11221336,-505939,-31.3411542864506
002311,海大集团,2019-09-30,13,增持,17821404,1.12731554,3981876,28.7717615803082
300166,东方国信,2019-09-30,13,增持,25569412,2.41978741,4226500,19.802827280551
600885,宏发股份,2019-09-30,13,增持,362640,0.0486921,176240,94.549356223176
300383,光环新网,2019-09-30,13,增持,4722605,0.30619239,4477205,1824.45191524042
601799,星宇股份,2019-09-30,13,减持,2081526,0.75375213,-1359609,-39.510481280159
601877,正泰电器,2019-09-30,12,增持,35035611,1.62862406,3085774,9.65818385865318
000591,太阳能,2019-09-30,12,减持,102910764,3.42226168,-6635036,-6.05686023562747
600031,三一重工,2019-09-30,12,增持,1246196,0.01480662,501200,67.2755289961288
600004,白云机场,2019-09-30,12,增持,470500,0.02273695,450100,2206.37254901961
600872,中炬高新,2019-09-30,12,增持,3126471,0.39245858,2756571,745.220600162206
600566,济川药业,2019-09-30,12,减持,5928685,0.72751554,-4073250,-40.7246197860714
002241,歌尔股份,2019-09-30,11,减持,464100,0.01430155,-1655300,-78.1022931018213
000977,浪潮信息,2019-09-30,11,减持,1001900,0.07771173,-5004100,-83.3183483183483
002027,分众传媒,2019-09-30,11,减持,16333065,0.11127672,-16334244,-50.0018045563533
600483,福能股份,2019-09-30,11,增持,2843217,0.18321678,1493265,110.616155241075
600038,中直股份,2019-09-30,11,增持,155362,0.02635591,137462,767.944134078212
601100,恒立液压,2019-09-30,11,增持,528251,0.0598924,525651,20217.3461538462
600660,福耀玻璃,2019-09-30,11,减持,856624,0.03414726,-274714,-24.2822215818792
300271,华宇软件,2019-09-30,11,减持,1333840,0.16479558,-14119883,-91.3688112566791
601966,玲珑轮胎,2019-09-30,11,增持,2525744,0.21047658,656972,35.1552784395314
300244,迪安诊断,2019-09-30,11,增持,4926897,0.79407384,1094797,28.5691135408784
002916,深南电路,2019-09-30,11,增持,80580,0.02374468,70580,705.8
002250,联化科技,2019-09-30,11,减持,25315068,2.74008759,-4014520,-13.6876112954604
300457,赢合科技,2019-09-30,11,增持,17851491,4.74769316,5105253,40.0530179963688
601688,华泰证券,2019-09-30,10,减持,249567993,2.74956061,-211700,-0.084754688204377
002531,天顺风能,2019-09-30,10,减持,650588,0.03657003,-1113571,-63.1219181491011
002384,东山精密,2019-09-30,10,增持,969391,0.06033908,969391,100
601998,中信银行,2019-09-30,10,增持,1280600,0.00261693,900600,237
600690,海尔智家,2019-09-30,10,减持,768300,0.0120641,-16496044,-95.5497874694804
002179,中航光电,2019-09-30,10,减持,755634,0.07206239,-2647660,-77.7969813950837
002127,南极电商,2019-09-30,10,减持,41573239,1.69350037,-11935641,-22.3059069821682
002672,东江环保,2019-09-30,10,减持,11214083,1.27538981,-10155154,-47.5223050780896
600612,老凤祥,2019-09-30,10,减持,4029450,0.7702759,-7691543,-65.6219400523488
