股票代码,股票简称,时间,持有券商家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
002531,天顺风能,2020-03-31,10,增持,525499,0.0295387,525499,100
000977,浪潮信息,2020-03-31,10,增持,363212,0.02520347,45312,14.2535388486946
002142,宁波银行,2020-03-31,10,减持,12063054,0.21432744,-1183904,-8.93717636909546
300166,东方国信,2020-03-31,10,减持,21379000,2.0232235,-3150198,-12.8426457318335
300326,凯利泰,2020-03-31,10,增持,569705,0.07879996,502205,744.007407407407
002250,联化科技,2020-03-31,10,减持,21457392,2.32253508,-481028,-2.19262827496237
300369,绿盟科技,2020-03-31,10,减持,19456030,2.43773956,-2901800,-12.9788982204445
603666,亿嘉和,2020-03-31,10,增持,1334778,1.34788389,735194,122.617348027966
000895,双汇发展,2020-03-31,9,减持,604571,0.0182139,-6414547,-91.3867953210076
002027,分众传媒,2020-03-31,9,增持,25348153,0.17269626,4301804,20.4396686570198
601818,光大银行,2020-03-31,9,减持,4353100,0.0082933,-364500,-7.72638629811769
600690,海尔智家,2020-03-31,9,减持,421247,0.00640236,-402547,-48.8650075140144
300737,科顺股份,2020-03-31,9,减持,6258800,1.02987608,-3990551,-38.9346701074048
002557,洽洽食品,2020-03-31,8,增持,300361,0.0592428,288361,2403.00833333333
300015,爱尔眼科,2020-03-31,8,增持,649328,0.02096086,184930,39.8214462594585
603225,新凤鸣,2020-03-31,8,增持,7847693,0.56072182,6647757,554.009297162515
300253,卫宁健康,2020-03-31,8,增持,513800,0.03130666,75400,17.1989051094891
600298,安琪酵母,2020-03-31,8,减持,247079,0.02998237,-9157184,-97.3726915123492
600201,生物股份,2020-03-31,8,增持,463200,0.041128,281300,154.645409565695
300168,万达信息,2020-03-31,8,增持,55206400,4.70582286,206400,0.375272727272727
300285,国瓷材料,2020-03-31,8,增持,179500,0.01863307,179500,100
300383,光环新网,2020-03-31,8,减持,172500,0.01117851,-162100,-48.4459055588763
603866,桃李面包,2020-03-31,8,增持,155000,0.02352488,155000,100
601636,旗滨集团,2020-03-31,8,增持,36642311,1.36361083,32496911,783.927027548608
601186,中国铁建,2020-03-31,7,增持,1946100,0.01433112,73800,3.94167601345938
000401,冀东水泥,2020-03-31,7,增持,431300,0.03200687,96416,28.7908648965015
000623,吉林敖东,2020-03-31,7,增持,43776182,3.76395936,56100,0.128316319260334
002624,完美世界,2020-03-31,7,增持,76000,0.00587702,15505,25.6302173733366
