股票代码,股票简称,时间,持有券商家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
000651,格力电器,2016-09-30,64,增持,52559110,0.87369449,6331312,13.6958978664742
600066,宇通客车,2016-09-30,56,增持,75368623,3.40427694,18934530,33.5515802477768
600276,恒瑞医药,2016-09-30,54,减持,17660906,0.75224404,-5876688,-24.9672417665119
000333,美的集团,2016-09-30,52,增持,25651023,0.39766707,8758518,51.8485446652228
000786,北新建材,2016-09-30,52,增持,16813897,1.18911712,4928670,41.4688756049842
601166,兴业银行,2016-09-30,44,增持,69844298,0.36659178,17540082,33.5347383851428
600887,伊利股份,2016-09-30,42,增持,47466189,0.78265052,9036474,23.5142883573297
002271,东方雨虹,2016-09-30,42,增持,28166018,3.18676586,17394694,161.490769379883
300144,宋城演艺,2016-09-30,39,增持,6666518,0.45893267,5793578,663.685705775884
002400,省广股份,2016-09-30,38,增持,50284405,3.74968933,7149595,16.575000562191
000625,长安汽车,2016-09-30,37,增持,8406677,0.18028916,6993277,494.783996037923
601318,中国平安,2016-09-30,36,增持,40127500,0.21951296,9359390,30.4191255166469
000858,五粮液,2016-09-30,33,减持,4903127,0.12916676,-3125726,-38.9311648874378
300058,蓝色光标,2016-09-30,33,减持,9233305,0.46192399,-8329333,-47.4264344570559
002415,海康威视,2016-09-30,32,减持,24444434,0.40052104,-21438857,-46.7247586926579
002236,大华股份,2016-09-30,32,减持,28521014,0.98368289,-36643411,-56.2322325409915
002589,瑞康医药,2016-09-30,30,增持,24152442,3.69178106,23155235,2322.00887077608
600519,贵州茅台,2016-09-30,29,减持,395021,0.0314458,-86845,-18.0226452997306
300406,九强生物,2016-09-30,28,增持,7785085,1.55735399,7765085,38825.425
300408,三环集团,2016-09-30,26,增持,1506400,0.08719428,481194,46.936323041418
600418,江淮汽车,2016-09-30,26,增持,36366683,1.92079702,35039207,2639.53600667733
300508,维宏股份,2016-09-30,26,减持,76520,0.00259064,-11829,-13.3889461114444
600036,招商银行,2016-09-30,25,增持,56298668,0.22323161,11842060,26.6373448914501
