股票代码,股票简称,时间,持有券商家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
601318,中国平安,2018-06-30,70,减持,3110102,0.01701347,-9763744,-75.8417026271714
000333,美的集团,2018-06-30,69,减持,30087865,0.45402548,-16034176,-34.7646714073213
000651,格力电器,2018-06-30,67,增持,6510834,0.10823012,2131336,48.6662169956465
600887,伊利股份,2018-06-30,64,减持,64398213,1.05944381,-7094171,-9.92297445277528
600519,贵州茅台,2018-06-30,56,增持,725733,0.0577722,341878,89.0643602401949
600036,招商银行,2018-06-30,44,减持,16547950,0.06561481,-4889788,-22.8092534762763
000858,五粮液,2018-06-30,44,增持,22707819,0.0848559,16700195,277.98335914498
002027,分众传媒,2018-06-30,42,增持,61625342,0.41985179,11991056,24.1588163472322
600566,济川药业,2018-06-30,42,减持,9879531,1.21320149,-863401,-8.03692139166477
300408,三环集团,2018-06-30,41,增持,8007782,0.45991767,800086,11.1004404181308
002179,中航光电,2018-06-30,40,增持,15971861,2.01925652,8916390,126.375546012449
600276,恒瑞医药,2018-06-30,39,增持,3208810,0.08713808,1806660,128.849267196805
002024,苏宁云商,2018-06-30,38,增持,4792244,0.05147393,2264044,89.5516177517601
601166,兴业银行,2018-06-30,37,增持,30000185,0.14441085,9930894,49.4830335560932
600176,中国巨石,2018-06-30,31,减持,55727388,1.59116236,-11279537,-16.8333899817071
002008,大族激光,2018-06-30,30,增持,23434708,2.19618323,358159,1.55204749202318
600048,保利地产,2018-06-30,30,减持,9344099,0.07879703,-3065635,-24.703470678743
601288,农业银行,2018-06-30,29,增持,14651523,0.00451103,183554,1.26869224007876
000963,华东医药,2018-06-30,29,增持,3706148,0.25416349,1586316,74.8321565105159
600612,老凤祥,2018-06-30,29,减持,7909668,1.51202437,-1312281,-14.2299745964763
002859,洁美科技,2018-06-30,29,增持,6553731,2.56305474,4568281,230.087939761767
601398,工商银行,2018-06-30,27,减持,23223878,0.00651613,-11634608,-33.3766876736987
600886,国投电力,2018-06-30,26,增持,7205654,0.10618376,5368647,292.249675695302
002078,太阳纸业,2018-06-30,25,增持,31084017,1.19895426,1351954,4.54712476561078
300124,汇川技术,2018-06-30,25,减持,32665893,1.9629002,-7396437,-18.4623235842748
600066,宇通客车,2018-06-30,24,增持,38743166,1.74996519,1709439,4.61589782740473
600585,海螺水泥,2018-06-30,23,减持,1805152,0.03406394,-1876072,-50.9632665656858
000703,恒逸石化,2018-06-30,23,减持,19084183,0.82694479,-8051073,-29.6701567879072
300144,宋城演艺,2018-06-30,23,减持,14574956,1.00336483,-1250039,-7.89914309609576
002422,科伦药业,2018-06-30,22,增持,1284469,0.08919923,480222,59.7107605001946
300059,东方财富,2018-06-30,22,减持,4547779,0.0879956,-89202,-1.92370855088688
600031,三一重工,2018-06-30,22,减持,47339600,0.61173167,-30421981,-39.1221225298904
002020,京新药业,2018-06-30,22,减持,9613050,1.32617208,-8573741,-47.1426817408305
601689,拓普集团,2018-06-30,22,增持,7706132,1.05914894,7330732,1952.778902504
600486,扬农化工,2018-06-30,21,增持,14496767,4.67790197,4110765,39.5798595070558
002262,恩华药业,2018-06-30,21,增持,903194,0.08950072,192435,27.0745780215235
600309,万华化学,2018-06-30,20,减持,328608,0.01201927,-458020,-58.2257432992469
002271,东方雨虹,2018-06-30,20,减持,51329060,3.42385057,-232299,-0.450529242256784
002304,洋河股份,2018-06-30,20,增持,419320,0.02782503,333076,386.20193868559
601668,中国建筑,2018-06-30,19,增持,7916799,0.01885615,1702044,27.3871455914191
300628,亿联网络,2018-06-30,19,增持,5077122,1.69985336,3339477,192.184076724532
000961,中南建设,2018-06-30,18,减持,44248507,1.19275002,-37367779,-45.7847089488978
603899,晨光文具,2018-06-30,18,增持,4426737,0.48116704,4390337,12061.3653846154
000415,渤海金控,2018-06-30,18,增持,285780,0.0046209,227180,387.679180887372
600690,青岛海尔,2018-06-30,18,增持,31861570,0.52254332,8411041,35.8671695636376
600352,浙江龙盛,2018-06-30,18,增持,27894023,0.85739863,268853,0.973217540380747
002690,美亚光电,2018-06-30,18,增持,17969971,2.65827974,1085031,6.42602816474326
600521,华海药业,2018-06-30,18,增持,13370637,1.06880584,387159,2.98193596507808
601799,星宇股份,2018-06-30,18,增持,2184950,0.79120353,516144,30.9289396131126
600104,上汽集团,2018-06-30,17,增持,17913897,0.15332698,3340307,22.9202756493081
600030,中信证券,2018-06-30,17,增持,3578511,0.02953317,2089311,140.297542304593
002174,游族网络,2018-06-30,17,增持,41187563,3.63163607,24241499,143.050911409281
002415,海康威视,2018-06-30,17,减持,96709802,1.04808676,-48400257,-33.3541708504164
600028,中国石化,2018-06-30,17,增持,110045933,0.09089357,1491977,1.37441052816168
